Time (Year),co2
1851,287.14
1852,290.01
1853,292.91
1854,295.84
1855,298.79
1856,301.78
1857,304.8
1858,307.85
1859,310.92
1860,314.03
1861,317.17
1862,320.34
1863,323.55
1864,326.78
1865,330.05
1866,333.35
1867,336.68
1868,340.04
1869,343.45
1870,346.88
1871,350.35
1872,353.85
1873,357.39
1874,360.96
1875,364.57
1876,368.22
1877,371.9
1878,375.61
1879,379.37
1880,383.17
1881,387.0
1882,390.87
1883,394.78
1884,398.73
1885,402.72
1886,406.75
1887,410.81
1888,414.91
1889,419.06
1890,423.26
1891,427.49
1892,431.76
1893,436.08
1894,440.44
1895,444.84
1896,449.29
1897,453.78
1898,458.32
1899,462.91
1900,467.54
1901,472.22
1902,476.94
1903,481.7
1904,486.51
1905,491.39
1906,496.3
1907,501.26
1908,506.28
1909,511.34
1910,516.45
1911,521.62
1912,508.22
1913,503.33
1914,499.48
1915,494.84
1916,491.05
1917,488.14
1918,486.07
1919,483.83
1920,481.33
1921,478.57
1922,476.4
1923,475.09
1924,471.91
1925,470.03
1926,469.01
1927,466.7
1928,463.92
1929,462.69
1930,461.71
1931,460.59
1932,459.15
1933,457.96
1934,456.14
1935,455.29
1936,454.73
1937,454.26
1938,452.41
1939,450.1
1940,449.63
1941,447.98
1942,447.22
1943,445.95
1944,445.24
1945,444.41
1946,444.3
1947,443.37
1948,442.54
1949,442.61
1950,442.4
1951,441.01
1952,440.18
1953,439.87
1954,439.11
1955,438.69
1956,438.48
1957,437.35
1958,436.58
1959,436.54
1960,436.02
1961,435.66
1962,434.48
1963,433.67
1964,433.29
1965,432.76
1966,432.95
1967,433.49
1968,433.24
1969,432.68
1970,431.72
1971,431.29
1972,430.82
1973,429.62
1974,428.96
1975,428.89
1976,428.38
1977,427.67
1978,427.7
1979,427.98
1980,427.29
1981,427.2
1982,425.93
1983,425.48
1984,424.76
1985,423.82
1986,424.71
1987,425.38
1988,425.76
1989,425.4
1990,424.47
1991,423.18
1992,422.24
1993,422.08
1994,422.65
1995,424.07
1996,424.77
1997,423.96
1998,422.97
1999,422.31
2000,421.99
2001,421.79
2002,422.88
2003,423.89
2004,423.22
2005,422.7
2006,422.06
2007,422.3
2008,422.47
2009,422.0
2010,421.93
