Time (Year),pr
1851,2.8469
1852,2.8568
1853,2.8542
1854,2.8534
1855,2.8454
1856,2.8335
1857,2.8507
1858,2.8534
1859,2.8454
1860,2.8731
1861,2.8614
1862,2.8601
1863,2.8647
1864,2.8560000000000003
1865,2.8649
1866,2.878
1867,2.8588
1868,2.8684
1869,2.8604
1870,2.875
1871,2.8689
1872,2.8631
1873,2.8727
1874,2.8726
1875,2.8679
1876,2.8726
1877,2.8849
1878,2.8864
1879,2.8784
1880,2.8798
1881,2.8836
1882,2.9057
1883,2.8904
1884,2.8913
1885,2.9056
1886,2.9136
1887,2.8908
1888,2.8943
1889,2.8983
1890,2.8993
1891,2.9071
1892,2.8969
1893,2.91
1894,2.9192
1895,2.9074
1896,2.9185
1897,2.9129
1898,2.9236
1899,2.9226
1900,2.9359
1901,2.9367
1902,2.9445
1903,2.949
1904,2.9459
1905,2.9538
1906,2.9507
1907,2.9383
1908,2.9466
1909,2.9514
1910,2.9643
1911,2.9571
1912,2.9692
1913,2.963
1914,2.9622
1915,2.9765
1916,2.9513
1917,2.9607
1918,2.9709
1919,2.9671
1920,2.9745
1921,2.9604
1922,2.9513
1923,2.9761
1924,2.9635
1925,2.9578
1926,2.9793
1927,2.9776
1928,2.9638
1929,2.9636
1930,2.9633
1931,2.9572
1932,2.955
1933,2.9712
1934,2.9583
1935,2.9545
1936,2.9636
1937,2.9793
1938,2.9752
1939,2.9721
1940,2.9946
1941,2.97
1942,2.9707
1943,2.9746
1944,2.9692
1945,2.9751
1946,2.9695
1947,2.9599
1948,2.9717
1949,2.9738
1950,2.9848
1951,2.9654
1952,2.9681
1953,2.969
1954,2.9472
1955,2.9595
1956,2.9586
1957,2.9657
1958,2.9618
1959,2.9702
1960,2.9762
1961,2.9901
1962,2.9554
1963,2.9759
1964,2.9623
1965,2.9547
1966,2.9633
1967,2.9589
1968,2.9825
1969,2.9699
1970,2.9779
1971,2.9703
1972,2.9815
1973,2.9617
1974,2.9687
1975,2.9673
1976,2.9681
1977,2.9562
1978,2.9605
1979,2.9674
1980,2.9657
1981,2.9696
1982,2.9795
1983,2.9803
1984,2.9627
1985,2.957
1986,2.9464
1987,2.9457
1988,2.9612
1989,2.9624
1990,2.9541
1991,2.9636
1992,2.9644
1993,2.9678
1994,2.9537
1995,2.9555
1996,2.9816
1997,2.9754
1998,2.9796
1999,2.9559
2000,2.957
2001,2.9521
2002,2.9453
2003,2.9610000000000003
2004,2.9574
2005,2.9676
2006,2.96
2007,2.975
2008,2.9556
2009,2.97
2010,2.9645
