Time (Year),rsut
1851,100.53
1852,99.63
1853,100.55
1854,100.56
1855,100.23
1856,100.64
1857,100.1
1858,100.31
1859,100.06
1860,100.21
1861,99.907
1862,99.684
1863,99.693
1864,99.964
1865,99.513
1866,99.728
1867,99.96
1868,99.61
1869,99.855
1870,100.16
1871,99.829
1872,99.678
1873,99.868
1874,99.794
1875,99.437
1876,99.762
1877,99.553
1878,99.495
1879,99.417
1880,99.37
1881,99.51
1882,99.053
1883,99.144
1884,98.86
1885,98.958
1886,99.276
1887,99.689
1888,98.851
1889,98.94
1890,99.056
1891,98.655
1892,98.773
1893,98.676
1894,98.551
1895,98.907
1896,98.802
1897,98.825
1898,98.297
1899,98.625
1900,98.036
1901,98.359
1902,98.114
1903,98.302
1904,98.104
1905,98.26
1906,98.324
1907,98.136
1908,98.154
1909,98.297
1910,97.928
1911,97.933
1912,97.606
1913,98.013
1914,98.29
1915,97.907
1916,97.861
1917,97.571
1918,97.815
1919,97.857
1920,98.329
1921,98.131
1922,97.834
1923,98.291
1924,98.14
1925,98.183
1926,98.174
1927,98.336
1928,98.174
1929,98.052
1930,98.03
1931,98.308
1932,98.044
1933,98.193
1934,98.134
1935,98.394
1936,97.76
1937,98.416
1938,98.474
1939,97.712
1940,98.123
1941,98.074
1942,98.144
1943,98.205
1944,98.189
1945,98.181
1946,98.505
1947,98.367
1948,98.055
1949,97.888
1950,98.289
1951,98.142
1952,98.019
1953,98.386
1954,98.496
1955,98.283
1956,98.578
1957,98.297
1958,98.266
1959,98.113
1960,97.993
1961,98.339
1962,98.405
1963,98.161
1964,98.5
1965,98.094
1966,98.191
1967,98.005
1968,98.183
1969,98.192
1970,97.897
1971,98.342
1972,98.266
1973,97.987
1974,98.061
1975,98.606
1976,98.515
1977,98.274
1978,98.452
1979,98.186
1980,98.132
1981,98.376
1982,97.92
1983,98.451
1984,98.347
1985,98.015
1986,98.491
1987,98.297
1988,98.387
1989,98.243
1990,98.189
1991,97.951
1992,97.996
1993,98.035
1994,98.261
1995,98.026
1996,98.186
1997,98.667
1998,98.158
1999,98.354
2000,98.402
2001,97.932
2002,98.492
2003,98.44
2004,98.375
2005,98.261
2006,98.106
2007,98.221
2008,98.57
2009,98.031
2010,98.541
