Time (Year),rsdt
1851,340.20856000000003
1852,340.20853
1853,340.20858
1854,340.20853999999997
1855,340.20856000000003
1856,340.20857
1857,340.20856000000003
1858,340.20858
1859,340.20857
1860,340.20857
1861,340.20858
1862,340.20853
1863,340.20857
1864,340.20855
1865,340.20852
1866,340.20853
1867,340.20858
1868,340.20855
1869,340.20852
1870,340.20853
1871,340.20851
1872,340.2085
1873,340.20856000000003
1874,340.20855
1875,340.20855
1876,340.20855
1877,340.20851
1878,340.20855
1879,340.20852
1880,340.20855
1881,340.20847000000003
1882,340.20856000000003
1883,340.20856000000003
1884,340.20855
1885,340.20855
1886,340.20853999999997
1887,340.20852
1888,340.20853999999997
1889,340.20852
1890,340.20855
1891,340.20851
1892,340.20851
1893,340.20855
1894,340.20856000000003
1895,340.20859
1896,340.20855
1897,340.20857
1898,340.20855
1899,340.20853
1900,340.20853999999997
1901,340.20853999999997
1902,340.20853
1903,340.20853
1904,340.20855
1905,340.20852
1906,340.20858
1907,340.20853
1908,340.20857
1909,340.20856000000003
1910,340.20853
1911,340.20852
1912,340.20853999999997
1913,340.20851
1914,340.20852
1915,340.20853
1916,340.20855
1917,340.20853999999997
1918,340.20853
1919,340.20849
1920,340.20853999999997
1921,340.20853
1922,340.20852
1923,340.20848
1924,340.20855
1925,340.20853999999997
1926,340.20855
1927,340.20853999999997
1928,340.20851
1929,340.20855
1930,340.20848
1931,340.20855
1932,340.20852
1933,340.2085
1934,340.20847000000003
1935,340.20851
1936,340.20851
1937,340.20852
1938,340.20852
1939,340.20849
1940,340.20853
1941,340.20855
1942,340.20853999999997
1943,340.20852
1944,340.20851
1945,340.2085
1946,340.20855
1947,340.20857
1948,340.20851
1949,340.20856000000003
1950,340.20853999999997
1951,340.20853
1952,340.20849
1953,340.20851
1954,340.20855
1955,340.20851
1956,340.2085
1957,340.20847000000003
1958,340.20858
1959,340.20844
1960,340.20849
1961,340.20853
1962,340.20849
1963,340.20849
1964,340.20848
1965,340.20852
1966,340.20852
1967,340.20852
1968,340.2085
1969,340.20849
1970,340.20852
1971,340.20848
1972,340.20853999999997
1973,340.2085
1974,340.20852
1975,340.20852
1976,340.20853999999997
1977,340.20849
1978,340.20847000000003
1979,340.20856000000003
