Time (Year),cLand
1851,1941.7538
1852,1942.12537
1853,1943.0705
1854,1944.43304
1855,1945.2999399999999
1856,1946.70568
1857,1947.8969
1858,1949.6756300000002
1859,1952.3681600000002
1860,1954.99599
1861,1956.38418
1862,1958.45388
1863,1961.24728
1864,1965.03782
1865,1967.63213
1866,1969.3703899999998
1867,1973.4383899999998
1868,1977.49302
1869,1982.0443
1870,1987.21233
1871,1991.87445
1872,1994.1775
1873,1996.64745
1874,2000.93097
1875,2006.5779899999998
1876,2011.8991399999998
1877,2016.10201
1878,2020.4516199999998
1879,2025.6341899999998
1880,2032.1386100000002
1881,2038.3929600000001
1882,2044.04884
1883,2047.85678
1884,2052.7515
1885,2058.43307
1886,2064.0552399999997
1887,2068.89393
1888,2073.82738
1889,2079.71263
1890,2085.11793
1891,2089.8440100000003
1892,2095.01774
1893,2101.87153
1894,2110.1165
1895,2117.42372
1896,2121.9503600000003
1897,2125.64828
1898,2132.02925
1899,2139.84918
1900,2147.53431
1901,2154.48091
1902,2159.18003
1903,2164.52594
1904,2171.65083
1905,2179.01595
1906,2185.49733
1907,2189.4988
1908,2195.03076
1909,2203.1548
1910,2211.06389
1911,2216.67096
1912,2220.77319
1913,2226.4934399999997
1914,2233.7539
1915,2239.42646
1916,2245.17608
1917,2251.84045
1918,2258.74642
1919,2263.47367
1920,2268.21019
1921,2275.79292
1922,2284.8202
1923,2292.81929
1924,2299.3938399999997
1925,2304.0102899999997
1926,2308.86643
1927,2316.4896
1928,2323.78791
1929,2330.5976
1930,2336.10669
1931,2341.03934
1932,2347.8439
1933,2354.99729
1934,2360.58698
1935,2365.7988800000003
1936,2372.5288
1937,2377.9819199999997
1938,2382.63532
1939,2388.97591
1940,2397.2439600000002
1941,2404.74692
1942,2409.70765
1943,2413.4712
1944,2420.0320899999997
1945,2427.88044
1946,2434.0057100000004
1947,2438.07418
1948,2443.8697899999997
1949,2451.54319
1950,2458.70816
1951,2466.1185800000003
1952,2471.46739
1953,2475.76337
1954,2481.78343
1955,2488.39767
1956,2492.8423399999997
1957,2493.5453
1958,2497.11837
1959,2502.8371
1960,2508.251
1961,2509.81227
1962,2511.43305
1963,2515.32908
1964,2520.46047
1965,2522.94587
1966,2524.4781199999998
1967,2527.85169
1968,2529.4154
1969,2528.28343
1970,2529.23513
1971,2532.87365
1972,2536.6269899999998
1973,2538.61192
1974,2537.70762
1975,2538.79641
1976,2540.54871
1977,2541.18788
1978,2540.434
1979,2541.30564
1980,2545.12388
1981,2549.2368300000003
1982,2549.18046
1983,2548.4404600000003
1984,2549.151
1985,2549.82393
1986,2549.18315
1987,2550.06488
1988,2552.50042
1989,2552.95134
1990,2551.0669399999997
1991,2551.64018
1992,2553.3998899999997
1993,2551.8401
1994,2550.42629
1995,2551.27648
1996,2553.43315
1997,2553.49089
1998,2551.73851
1999,2552.203
2000,2553.63693
2001,2552.38604
2002,2551.01925
2003,2552.58047
2004,2554.42108
2005,2552.49426
2006,2551.4830899999997
2007,2551.72425
2008,2552.73361
2009,2553.3413
2010,2551.56253
2011,2551.4596300000003
2012,2553.4681600000004
2013,2556.08361
2014,2556.0129100000004
2015,2555.10383
2016,2556.20105
2017,2556.91669
2018,2556.17248
2019,2555.8677
2020,2557.81094
2021,2558.60932
2022,2557.6749
2023,2557.38141
2024,2558.76257
2025,2556.97885
2026,2556.96152
2027,2558.86242
2028,2560.16851
2029,2559.90159
2030,2558.7080100000003
2031,2559.76766
2032,2561.07588
2033,2560.70912
2034,2558.51586
2035,2558.81857
2036,2560.85223
2037,2561.97668
2038,2560.23301
2039,2557.95889
2040,2558.69896
2041,2560.96405
2042,2561.3802
2043,2559.22777
2044,2557.2716
2045,2557.28654
2046,2557.5214
2047,2557.78981
2048,2557.37986
2049,2554.44249
2050,2552.98178
2051,2554.67897
2052,2556.91548
2053,2556.00745
2054,2554.25787
2055,2554.41863
2056,2555.59765
2057,2554.50969
2058,2552.26647
2059,2552.69101
