Time (Year),co2
1851,288.50575
1852,291.96501
1853,295.11725
1854,298.07417000000004
1855,301.41913
1856,304.55422999999996
1857,307.87331
1858,310.98942
1859,313.70731
1860,316.60137000000003
1861,320.25723999999997
1862,323.68279
1863,326.78623
1864,329.53189
1865,332.92913
1866,336.85785
1867,339.71404
1868,342.74857000000003
1869,345.60326000000003
1870,348.22427999999996
1871,351.28656
1872,355.51152
1873,359.83926
1874,363.36386
1875,366.20973
1876,369.38681
1877,373.22787
1878,377.13505
1879,380.71178
1880,383.64976
1881,386.92226
1882,390.46412000000004
1883,395.03379
1884,399.22889
1885,403.06082999999995
1886,406.98053
1887,411.3103
1888,415.72917
1889,419.68973
1890,423.85237
1891,428.4516
1892,432.99503
1893,436.75392
1894,439.93184
1895,443.69974
1896,448.94214000000005
1897,454.61138
1898,459.0482
1899,462.7664
1900,466.62608
1901,470.94183
1902,476.45725999999996
1903,481.73427000000004
1904,486.06253
1905,490.37408
1906,495.17107999999996
1907,501.19569
1908,506.67792000000003
1909,510.91109000000006
1910,515.25636
1911,520.77165
1912,527.1885599999999
1913,532.75798
1914,521.20295
1915,517.17256
1916,514.46112
1917,511.6965
1918,508.82453
1919,505.26828
1920,501.97819000000004
1921,498.7935
1922,496.28121
1923,495.1782
1924,493.5037
1925,490.77558
1926,488.93010999999996
1927,488.29355
1928,488.00249
1929,486.50046
1930,484.13794
1931,483.08153
1932,483.46394000000004
1933,482.92792000000003
1934,481.06805
1935,479.15927999999997
1936,477.80377000000004
1937,476.96972999999997
1938,476.59674
1939,476.07055999999994
1940,476.01007000000004
1941,475.9484
1942,474.4785
1943,472.84896
1944,471.91078
1945,471.75467000000003
1946,470.599
1947,468.95937999999995
1948,468.17135999999994
1949,468.59598
1950,468.8911
1951,467.82193
1952,466.24422999999996
1953,464.93480999999997
1954,464.22920999999997
1955,464.18467000000004
1956,464.30499000000003
1957,463.43113
1958,462.92225
1959,462.7197
1960,462.00423
1961,461.09952999999996
1962,460.42001
1963,460.57784000000004
1964,460.48987999999997
1965,459.39430999999996
1966,458.58965
1967,458.28247000000005
1968,458.85695999999996
1969,458.84238
1970,457.60404000000005
1971,456.2725
