Time (Year),dissicos
1851,1.9969
1852,1.99777
1853,1.99964
1854,2.00065
1855,2.0023299999999997
1856,2.00387
1857,2.00604
1858,2.00756
1859,2.00864
1860,2.00948
1861,2.01172
1862,2.0146599999999997
1863,2.01568
1864,2.01567
1865,2.0160099999999996
1866,2.01983
1867,2.02268
1868,2.02393
1869,2.02561
1870,2.02703
1871,2.0264
1872,2.02789
1873,2.0321
1874,2.03487
1875,2.0360099999999997
1876,2.03652
1877,2.03737
1878,2.0406299999999997
1879,2.04317
1880,2.04425
1881,2.0462599999999997
1882,2.0455900000000002
1883,2.0470599999999997
1884,2.05125
1885,2.0527599999999997
1886,2.0535200000000002
1887,2.05508
1888,2.0577900000000002
1889,2.05868
1890,2.05987
1891,2.06031
1892,2.0642400000000003
1893,2.0667
1894,2.06727
1895,2.06723
1896,2.06809
1897,2.0716900000000003
1898,2.07483
1899,2.07594
1900,2.07706
1901,2.07659
1902,2.07478
1903,2.0768400000000002
1904,2.07605
1905,2.07477
1906,2.07355
1907,2.07137
1908,2.07357
1909,2.07321
1910,2.07041
1911,2.0684299999999998
1912,2.06805
1913,2.06692
1914,2.0678799999999997
1915,2.06855
1916,2.0678799999999997
1917,2.06652
1918,2.06544
1919,2.0664599999999997
1920,2.0661
1921,2.0653599999999996
1922,2.06542
1923,2.06425
1924,2.06529
1925,2.06563
1926,2.06419
1927,2.0629299999999997
1928,2.06149
1929,2.06447
1930,2.06395
1931,2.06166
1932,2.06093
1933,2.06047
1934,2.06242
1935,2.06166
1936,2.0619400000000003
1937,2.05913
1938,2.05898
1939,2.06263
1940,2.0617
1941,2.06051
1942,2.0604400000000003
1943,2.06105
1944,2.05911
1945,2.05911
1946,2.06042
1947,2.06118
1948,2.05938
1949,2.0573599999999996
1950,2.05592
1951,2.05844
1952,2.0585
1953,2.0576
1954,2.05879
1955,2.05674
1956,2.0552200000000003
1957,2.05865
1958,2.05849
1959,2.0585
1960,2.05782
1961,2.05634
1962,2.0571900000000003
1963,2.05842
1964,2.05723
1965,2.05625
1966,2.05635
1967,2.05575
1968,2.05501
1969,2.05232
1970,2.0544700000000002
1971,2.0559
1972,2.0548599999999997
1973,2.05401
1974,2.0551
1975,2.0546
1976,2.05346
1977,2.05353
1978,2.0569599999999997
1979,2.0556200000000002
1980,2.0545
1981,2.05307
1982,2.05423
1983,2.05387
1984,2.05398
1985,2.05267
1986,2.05415
1987,2.0552099999999998
1988,2.05465
1989,2.05423
1990,2.05365
1991,2.05292
1992,2.05175
1993,2.0539400000000003
1994,2.05353
1995,2.05196
1996,2.05186
1997,2.05056
1998,2.0537400000000003
1999,2.0535400000000004
2000,2.0533799999999998
2001,2.0526400000000002
2002,2.05261
2003,2.05234
2004,2.0512799999999998
2005,2.0508900000000003
2006,2.05005
2007,2.05253
2008,2.0527599999999997
2009,2.0518099999999997
2010,2.05135
2011,2.04973
2012,2.05113
2013,2.04965
2014,2.04957
2015,2.0504700000000002
2016,2.0512
2017,2.05044
2018,2.04945
2019,2.04923
2020,2.05162
2021,2.05001
2022,2.0502700000000003
2023,2.0491099999999998
2024,2.04841
2025,2.04732
2026,2.04759
2027,2.05193
2028,2.0507299999999997
2029,2.0472
2030,2.0468
2031,2.04997
2032,2.0493200000000003
2033,2.0489900000000003
2034,2.0482299999999998
2035,2.04861
2036,2.0469
2037,2.04618
2038,2.05036
2039,2.04917
2040,2.0470200000000003
2041,2.04555
2042,2.04751
2043,2.0486
2044,2.0473
2045,2.0472
2046,2.0447
2047,2.04547
2048,2.0480400000000003
2049,2.04668
2050,2.04637
2051,2.0455400000000004
2052,2.04485
2053,2.04664
2054,2.04778
2055,2.04632
2056,2.04637
2057,2.04622
2058,2.04625
2059,2.04525
2060,2.04631
2061,2.04708
2062,2.04629
2063,2.04575
2064,2.04446
2065,2.0447599999999997
2066,2.04755
2067,2.0465299999999997
2068,2.04589
2069,2.0455400000000004
2070,2.04295
2071,2.04415
2072,2.04613
2073,2.04629
2074,2.0448
2075,2.044
2076,2.04294
2077,2.0447900000000003
2078,2.04562
2079,2.0436400000000003
2080,2.04257
2081,2.04261
2082,2.04501
2083,2.04592
2084,2.04514
2085,2.0431
2086,2.04199
2087,2.0447
2088,2.0443700000000002
2089,2.0443700000000002
2090,2.0434799999999997
2091,2.04203
2092,2.04419
2093,2.04398
2094,2.0423
2095,2.04179
2096,2.04419
2097,2.04439
2098,2.04316
2099,2.04314
2100,2.0424900000000004
2101,2.04101
2102,2.0419099999999997
2103,2.04402
2104,2.0434200000000002
2105,2.04298
2106,2.04327
2107,2.04125
2108,2.04141
2109,2.04487
2110,2.04434
2111,2.04403
2112,2.04197
2113,2.04199
2114,2.0422700000000003
2115,2.0434099999999997
2116,2.04324
2117,2.0439700000000003
2118,2.0443599999999997
2119,2.04102
2120,2.04108
2121,2.0444400000000003
2122,2.04405
2123,2.04304
2124,2.04213
2125,2.04057
2126,2.0425400000000002
2127,2.04371
2128,2.04217
2129,2.04164
2130,2.03988
2131,2.0397
2132,2.04327
2133,2.0423400000000003
2134,2.04124
2135,2.03998
2136,2.03831
2137,2.04244
2138,2.0422700000000003
2139,2.04217
2140,2.03963
2141,2.03877
2142,2.04113
2143,2.04142
2144,2.04078
2145,2.04161
2146,2.04033
2147,2.04022
2148,2.04025
2149,2.04072
2150,2.0397
2151,2.03694
2152,2.04089
2153,2.04075
2154,2.03918
2155,2.03733
2156,2.03952
2157,2.04102
2158,2.03993
2159,2.0402299999999998
2160,2.03793
