Time (Year),fco2nat
1851,1.46551
1852,1.48947
1853,2.9209099999999997
1854,2.74153
1855,2.46292
1856,3.63427
1857,2.98786
1858,4.48341
1859,5.199990000000001
1860,4.5256099999999995
1861,3.50892
1862,5.04272
1863,6.2187
1864,6.11543
1865,4.51307
1866,5.537030000000001
1867,7.73575
1868,6.62027
1869,8.16959
1870,8.334430000000001
1871,6.73186
1872,4.91456
1873,6.82773
1874,8.36155
1875,9.05665
1876,8.19467
1877,7.27273
1878,7.97818
1879,9.53673
1880,9.9557
1881,9.40799
1882,8.55555
1883,7.44758
1884,9.00895
1885,9.40944
1886,8.92366
1887,8.5798
1888,9.24473
1889,9.771410000000001
1890,8.76585
1891,9.156239999999999
1892,10.108460000000001
1893,11.80839
1894,11.92052
1895,10.35063
1896,7.0662199999999995
1897,8.9057
1898,11.9619
1899,11.26902
1900,12.18175
1901,9.68465
1902,4.44931
1903,7.83494
1904,8.60362
1905,6.21391
1906,6.09083
1907,2.94581
1908,3.4352099999999997
1909,6.35165
1910,4.698
1911,3.9859199999999997
1912,2.6565
1913,1.1006799999999999
1914,2.8576200000000003
1915,2.84396
1916,3.09919
1917,2.1185400000000003
1918,2.21637
1919,2.4406
1920,1.72495
1921,2.5183299999999997
1922,1.5326899999999999
1923,0.9724
1924,1.45144
1925,2.78775
1926,3.32015
1927,2.27393
1928,0.46883
1929,0.71502
1930,2.06077
1931,2.3156
1932,1.0715700000000001
1933,-1.10744
1934,1.62017
1935,1.9461700000000002
1936,2.18408
1937,0.0018800000000000002
1938,-1.15185
1939,1.95938
1940,3.3649699999999996
1941,2.28127
1942,1.662
1943,0.9456700000000001
1944,0.57219
1945,0.60987
1946,1.0844799999999999
1947,1.52092
1948,2.04691
1949,1.01894
1950,0.76876
1951,0.17339000000000002
1952,1.8824
1953,1.29853
1954,1.55778
1955,1.28546
1956,-1.92973
1957,-0.48736
1958,0.5210100000000001
1959,1.8318299999999998
1960,1.38606
1961,-0.16435
1962,-0.89587
1963,1.55843
1964,2.2461900000000004
1965,0.68457
1966,1.29939
1967,1.25886
1968,2.35969
1969,-0.88461
1970,-0.11812
1971,0.86971
1972,0.37951
1973,0.22185
1974,0.74487
1975,0.63275
1976,0.9272799999999999
1977,-2.6223400000000003
1978,1.06803
1979,1.8911200000000001
1980,2.1017799999999998
1981,0.33169
1982,0.37017
1983,0.19730999999999999
1984,1.0963100000000001
1985,-0.01641
1986,0.1018
1987,0.57072
1988,0.58815
1989,1.2119799999999998
1990,0.61123
1991,0.789
1992,-1.4131200000000002
1993,0.71503
1994,1.3971
1995,1.36259
1996,1.1436899999999999
1997,-2.14926
1998,0.55393
1999,1.8327799999999999
2000,2.02405
2001,1.82855
2002,0.571
