Time (Year),fgco2
1851,0.8539200000000001
1852,1.1906
1853,1.42356
1854,1.6224299999999998
1855,1.71567
1856,1.89228
1857,2.0539
1858,2.16237
1859,2.2844700000000002
1860,2.30289
1861,2.41905
1862,2.5194400000000003
1863,2.6046099999999996
1864,2.6656400000000002
1865,2.8284700000000003
1866,2.9416700000000002
1867,2.95008
1868,2.98726
1869,3.04589
1870,3.012
1871,3.09822
1872,3.3424
1873,3.3382699999999996
1874,3.3075099999999997
1875,3.3657
1876,3.28346
1877,3.3938599999999997
1878,3.3702
1879,3.5741
1880,3.4212800000000003
1881,3.35679
1882,3.5267199999999996
1883,3.7216199999999997
1884,3.61038
1885,3.69329
1886,3.65109
1887,3.7676800000000004
1888,3.94265
1889,3.96596
1890,3.9483
1891,4.18232
1892,4.1634400000000005
1893,4.08798
1894,3.87989
1895,3.91505
1896,3.9954699999999996
1897,4.21093
1898,4.13777
1899,4.03675
1900,4.08185
1901,4.02752
1902,4.23209
1903,4.39901
1904,4.36222
1905,4.22339
1906,4.42903
1907,4.47813
1908,4.4725
1909,4.310969999999999
1910,4.171
1911,4.46101
1912,4.543419999999999
1913,4.6860599999999994
1914,4.395230000000001
1915,4.51409
1916,4.5193
1917,4.554180000000001
1918,4.51888
1919,4.57907
1920,4.58787
1921,4.66395
1922,4.47425
1923,4.40759
1924,4.4541
1925,4.6393
1926,4.74158
1927,4.58049
1928,4.63994
1929,4.6627
1930,4.91235
1931,4.71384
1932,4.7640400000000005
1933,4.674980000000001
1934,4.67466
1935,4.7750900000000005
1936,4.74766
1937,4.67427
1938,4.7045699999999995
1939,4.73224
1940,4.71673
1941,4.7395
1942,4.768330000000001
1943,4.96574
1944,4.943219999999999
1945,4.63927
1946,4.70279
1947,4.58632
1948,4.99212
1949,4.75657
1950,4.78799
1951,4.60655
1952,4.87231
1953,4.90344
1954,4.899769999999999
1955,3.40208
1956,3.2639
1957,3.32514
1958,3.21723
1959,3.06747
1960,2.75389
1961,2.68878
1962,2.66594
1963,2.64331
1964,2.43844
1965,2.37787
1966,2.29992
1967,2.31922
1968,2.3056
1969,2.3199099999999997
1970,2.33941
1971,2.1995299999999998
1972,2.24054
1973,2.19366
1974,2.2631799999999997
1975,2.24453
1976,2.22119
1977,2.296
1978,2.23272
1979,2.2347900000000003
1980,1.93271
1981,1.8559700000000001
1982,1.9630400000000001
1983,1.98945
1984,1.93904
1985,1.9797900000000002
1986,2.0079
1987,1.9385400000000002
1988,1.92334
1989,1.9124299999999999
1990,1.94607
1991,2.07191
1992,2.07596
1993,1.97423
1994,1.88127
1995,1.8187200000000001
1996,1.7767700000000002
1997,1.7418099999999999
1998,1.8203799999999999
1999,1.89238
2000,1.87097
2001,1.92282
2002,1.88723
2003,1.7481799999999998
2004,1.69953
2005,1.7128900000000002
2006,1.6974900000000002
2007,1.7519799999999999
2008,1.70565
2009,1.7644099999999998
2010,1.70813
2011,1.7109299999999998
2012,1.6648
2013,1.75052
2014,1.60449
2015,1.5559399999999999
2016,1.57562
2017,1.75806
2018,1.59085
2019,1.47175
2020,1.3712600000000001
2021,1.50365
2022,1.61951
2023,1.57192
2024,1.50663
2025,1.57675
2026,1.42042
2027,1.49065
2028,1.49997
2029,1.53296
2030,1.5199200000000002
2031,1.43356
2032,1.4995399999999999
2033,1.58961
2034,1.6543400000000001
2035,1.3961299999999999
2036,1.36432
2037,1.3396
2038,1.47684
2039,1.45156
2040,1.3906100000000001
2041,1.3562299999999998
2042,1.45626
2043,1.51639
2044,1.36344
2045,1.3254700000000001
2046,1.4752
2047,1.3967200000000002
2048,1.55853
2049,1.5902
2050,1.41378
2051,1.31655
2052,1.42
2053,1.5041200000000001
2054,1.4576200000000001
2055,1.40831
2056,1.4937200000000002
2057,1.5916
2058,1.53798
2059,1.46538
2060,1.29999
2061,1.32897
2062,1.33667
2063,1.32019
2064,1.26978
2065,1.23633
2066,1.29436
2067,1.36711
2068,1.38668
2069,1.3645
2070,1.38572
2071,1.2595100000000001
2072,1.26662
2073,1.20735
2074,1.3394700000000002
2075,1.34389
2076,1.41477
2077,1.27078
2078,1.4109200000000002
2079,1.45594
2080,1.44254
2081,1.2011100000000001
2082,1.17849
2083,1.35796
2084,1.1856799999999998
2085,1.24409
2086,1.26652
2087,1.2067299999999999
2088,1.22407
2089,1.09585
2090,1.16951
2091,1.18672
2092,1.23165
2093,1.12148
2094,1.08805
2095,1.13306
2096,1.20815
2097,1.16701
2098,1.03274
2099,1.1108
2100,1.2968899999999999
2101,1.24456
2102,1.08219
2103,1.17202
2104,1.21607
2105,1.2437200000000002
2106,1.12096
2107,1.26996
2108,1.41396
2109,1.50393
2110,1.48322
2111,1.26403
2112,1.3422
2113,1.25134
2114,1.2917
2115,1.11055
2116,1.1635
2117,1.20169
2118,1.221
2119,1.13783
2120,1.2035200000000001
2121,1.11515
2122,0.8940100000000001
2123,1.0117
2124,1.02741
2125,1.02264
2126,1.16326
2127,1.06733
2128,0.9215
2129,1.0276100000000001
2130,1.0677299999999998
2131,1.1547
2132,0.9592799999999999
2133,1.01226
2134,1.20279
2135,1.12645
2136,0.99335
2137,1.15069
2138,1.08187
2139,1.09833
2140,1.09464
2141,1.0717700000000001
2142,1.06339
2143,1.05752
2144,1.11382
2145,1.14113
2146,1.28708
2147,1.06457
2148,0.9361799999999999
2149,0.9844299999999999
2150,1.0832899999999999
2151,1.26214
2152,1.11325
2153,0.9656899999999999
2154,0.9714
2155,1.04545
2156,1.0132700000000001
2157,0.9074
2158,0.9235200000000001
2159,1.06692
2160,1.1450799999999999
