Time (Year),gpp
1851,107.16971000000001
1852,107.74943999999999
1853,107.61392
1854,107.29723999999999
1855,107.96288999999999
1856,109.92358999999999
1857,108.99135
1858,109.92381999999999
1859,110.94533999999999
1860,112.67993999999999
1861,111.92341
1862,111.46773
1863,112.22868999999999
1864,113.96117
1865,114.20436000000001
1866,114.20783
1867,115.66554
1868,114.25927
1869,116.4867
1870,118.23613
1871,117.26905
1872,118.219
1873,117.17343000000001
1874,118.12388
1875,120.65563999999999
1876,121.54693999999999
1877,122.04025
1878,120.72963999999999
1879,120.68378999999999
1880,124.05606999999999
1881,123.87252
1882,125.05363
1883,123.59371000000002
1884,124.8282
1885,124.8223
1886,125.90013
1887,127.92568
1888,127.19841000000001
1889,127.34133
1890,130.25438
1891,130.4286
1892,129.32512
1893,131.24094
1894,132.49553999999998
1895,134.43046
1896,132.17982
1897,131.82943
1898,133.96853000000002
1899,134.3704
1900,137.34228000000002
1901,138.04064
1902,132.20028
1903,133.04748
1904,135.34734
1905,131.9544
1906,134.35519
1907,133.05871000000002
1908,131.40788
1909,132.71749
1910,131.5445
1911,132.14414
1912,132.25274
1913,131.88163
1914,130.48628
1915,129.27105
1916,130.76599
1917,130.49603000000002
1918,131.80005
1919,131.15991
1920,129.59147
1921,132.18008
1922,130.70446
1923,129.59823
1924,130.71043
1925,129.51565
1926,131.21233
1927,130.55573
1928,130.37073999999998
1929,127.21831999999999
1930,127.64536000000001
1931,128.94211
1932,130.32883
1933,128.1064
1934,127.60744
1935,128.28138
1936,128.37985
1937,128.5245
1938,127.27123
1939,127.6974
1940,129.67338999999998
1941,129.32084
1942,128.62014
1943,127.83116000000001
1944,128.20325
1945,127.9932
1946,129.18365
1947,127.97431999999999
1948,128.3692
1949,127.84575
1950,130.23488999999998
1951,127.75849
1952,128.76516999999998
1953,127.64903999999999
1954,128.52973
1955,127.69791000000001
1956,126.46186000000002
1957,126.66856999999999
1958,126.04221000000001
1959,127.03646
1960,126.46405
1961,126.88273000000001
1962,125.5047
1963,126.20451000000001
1964,127.40318
1965,125.97018999999999
1966,126.76625
1967,127.48473999999999
1968,129.23137
1969,127.6607
1970,126.42108
1971,126.46826000000001
1972,125.97067
1973,126.79031
1974,125.92701000000001
1975,125.88694
1976,128.39881
1977,125.08323
1978,125.30142
1979,125.60828000000001
1980,128.13629
1981,125.81747
1982,125.22601999999999
1983,124.56783
1984,125.35588
1985,125.51683999999999
1986,125.09611000000001
1987,124.70291999999999
1988,124.445
1989,126.19819
1990,125.82333999999999
1991,126.88516000000001
1992,125.66116000000001
1993,124.99756000000001
1994,125.90248999999999
1995,125.81038999999998
1996,126.45267
1997,124.7517
1998,125.06268999999999
1999,125.26753000000001
2000,126.3392
2001,127.16011
2002,125.03679
2003,124.3293
2004,124.40271000000001
2005,126.15908
2006,124.67106000000001
2007,126.21215
2008,124.92378000000001
2009,125.80613000000001
2010,125.14446000000001
2011,125.17368
2012,124.62393
2013,124.7474
2014,124.19171000000001
2015,124.71691000000001
2016,125.60808999999999
2017,126.14811999999999
2018,125.78223999999999
2019,125.4795
2020,124.97493999999999
2021,124.17204
2022,124.85077
2023,125.2173
2024,126.0021
2025,125.57873000000001
2026,124.53561
2027,122.29635
2028,124.66968999999999
2029,127.22901
2030,124.91752
2031,124.06211
2032,126.72641000000002
2033,124.5555
2034,124.93928999999999
2035,124.16361
2036,125.5644
2037,124.90413999999998
2038,124.07698
2039,125.43623000000001
2040,126.00968
2041,125.04168
2042,123.51841999999999
2043,124.27685
2044,122.55593999999999
2045,125.24143000000001
2046,126.12693
2047,123.90505
2048,125.05672
2049,123.22838999999999
2050,125.20799
2051,125.24548
2052,124.9897
2053,122.91434
2054,124.60388
2055,125.21046000000001
2056,123.42303000000001
2057,125.02566000000002
2058,123.84638999999999
