Time (Year),nbp
1851,0.61159
1852,0.29886999999999997
1853,1.49735
1854,1.1191
1855,0.74725
1856,1.7419799999999999
1857,0.93396
1858,2.32104
1859,2.91551
1860,2.2227200000000003
1861,1.0898700000000001
1862,2.5232900000000003
1863,3.61409
1864,3.44979
1865,1.6845900000000003
1866,2.59536
1867,4.78567
1868,3.63301
1869,5.1237
1870,5.322430000000001
1871,3.63365
1872,1.57216
1873,3.48946
1874,5.05405
1875,5.69095
1876,4.91121
1877,3.8788699999999996
1878,4.60798
1879,5.96263
1880,6.53443
1881,6.0512
1882,5.02883
1883,3.7259599999999997
1884,5.398569999999999
1885,5.71615
1886,5.27257
1887,4.812130000000001
1888,5.30208
1889,5.80545
1890,4.81754
1891,4.97392
1892,5.94503
1893,7.72041
1894,8.04063
1895,6.43558
1896,3.07076
1897,4.69477
1898,7.82413
1899,7.23228
1900,8.0999
1901,5.65712
1902,3.97479
1903,7.238569999999999
1904,6.908989999999999
1905,7.23941
1906,5.6411
1907,3.37949
1908,7.29242
1909,8.35255
1910,7.37782
1911,3.80041
1912,5.00416
1913,6.51998
1914,7.05116
1915,2.67234
1916,3.4834199999999997
1917,3.5103400000000002
1918,4.6395800000000005
1919,5.06683
1920,5.132219999999999
1921,4.480169999999999
1922,2.19772
1923,0.75978
1924,3.91928
1925,3.5798300000000003
1926,1.41533
1927,-0.94858
1928,0.74122
1929,2.93908
1930,2.7328099999999997
1931,-1.0499399999999999
1932,-1.91067
1933,2.13459
1934,2.16224
1935,2.75667
1936,0.80656
1937,-0.055920000000000004
1938,-0.03797
1939,-0.29088
1940,-2.08114
1941,0.9988299999999999
1942,2.1884200000000003
1943,1.62533
1944,-0.8367399999999999
1945,0.34471999999999997
1946,2.1402799999999997
1947,1.379
1948,-0.43925
1949,-2.87332
1950,-0.16164
1951,2.14777
1952,1.6723599999999998
1953,1.3964299999999998
1954,-0.36616
1955,-1.4851
1956,-0.64153
1957,0.9186200000000001
1958,-0.5151
1959,-0.5240600000000001
1960,0.7159399999999999
1961,1.17947
1962,-0.46098999999999996
1963,-2.05897
1964,0.9112299999999999
1965,0.76804
1966,0.2391
1967,-1.39058
1968,-2.3950400000000003
1969,0.51607
1970,1.8597099999999998
1971,0.6928
1972,-2.57532
1973,-0.44938999999999996
1974,0.46668000000000004
1975,1.25783
1976,-0.62797
1977,-1.14411
1978,0.6150399999999999
1979,1.88065
1980,1.59758
1981,0.13947
1982,-1.22084
1983,0.01633
1984,-0.40815
1985,0.35714
1986,0.66761
1987,-3.28665
1988,0.50993
1989,0.6441600000000001
1990,1.05342
1991,1.6072600000000001
1992,-1.8824299999999998
1993,-0.70014
1994,1.6067799999999999
1995,2.0623
1996,0.9706100000000001
1997,-2.74253
1998,0.55437
1999,1.7621799999999999
2000,0.54461
2001,-0.67574
2002,-2.35996
2003,-2.15145
2004,-0.22843000000000002
2005,0.41862
2006,0.48363999999999996
2007,-1.6423400000000001
2008,-0.62983
2009,0.50413
2010,1.4588700000000001
2011,1.9725099999999998
2012,-2.00727
2013,-3.12353
2014,0.7471300000000001
2015,1.14906
2016,0.49061000000000005
2017,-2.69024
2018,-0.81558
2019,1.14829
2020,0.13696
2021,0.27605
2022,-1.71135
2023,-2.13432
2024,-0.63412
2025,1.15646
2026,-0.078
2027,0.0158
2028,1.19781
2029,-2.4847799999999998
2030,-0.8235100000000001
2031,1.04111
2032,1.44505
2033,1.3730799999999999
2034,-0.10418
2035,-2.94362
2036,-0.10243
2037,0.08668
2038,0.6741699999999999
2039,-0.9096700000000001
2040,-2.9177400000000002
2041,0.28998
2042,1.8224
2043,-0.69923
2044,-3.23722
2045,-0.61443
2046,0.74632
2047,0.37366
2048,0.6072
2049,-1.45833
2050,0.11515999999999998
2051,2.57464
2052,0.74229
2053,0.36654000000000003
2054,-0.26632
2055,-0.7661600000000001
2056,0.62416
2057,0.29023000000000004
2058,-0.4916
2059,-1.33426
2060,-1.50193
2061,0.17984
2062,1.1364100000000001
2063,1.48629
2064,0.54588
2065,0.04823
2066,-1.7333
2067,-1.28975
2068,-2.88028
2069,0.38527
2070,2.7309799999999997
2071,1.8750099999999998
2072,-2.01008
2073,-1.94945
2074,-0.31811
2075,-0.062060000000000004
2076,-0.78422
2077,0.54043
2078,-0.7945300000000001
2079,-2.42522
2080,0.47701000000000005
2081,2.33101
2082,1.66271
2083,-2.62646
2084,-0.18388
2085,0.35247
2086,-0.63556
2087,-2.35716
2088,-1.34477
2089,0.62511
2090,2.12419
2091,1.40571
2092,0.8827200000000001
2093,-3.7644900000000003
2094,-0.57694
2095,1.27129
2096,2.10606
2097,0.46853
2098,-2.16233
2099,-0.68621
2100,0.28631
2101,0.16129000000000002
2102,0.8255
2103,-1.92877
2104,0.19722
2105,0.40564
2106,-0.69487
2107,-0.7075199999999999
2108,-0.68885
2109,1.06684
2110,0.60397
2111,-0.40273000000000003
2112,-0.71782
2113,-1.7045400000000002
2114,-0.12347999999999999
2115,0.05067
2116,-0.50647
2117,-3.3303599999999998
2118,0.55432
2119,1.30854
2120,1.01642
2121,0.34972
2122,-2.82144
2123,-1.3814899999999999
2124,-0.6147
2125,1.2669
2126,0.6603
2127,0.08997000000000001
2128,0.58195
2129,0.55377
2130,-2.47392
2131,-0.21871999999999997
2132,1.00886
2133,0.5506800000000001
2134,-1.55378
2135,-2.35155
2136,0.12952
2137,1.93133
2138,1.01234
2139,-0.50774
2140,-1.85338
2141,-2.64784
2142,0.48918
2143,1.8953799999999998
2144,0.91991
2145,-0.8956700000000001
2146,-0.7326
2147,0.04841
2148,0.8041699999999999
2149,-0.11452000000000001
2150,-0.0449
2151,0.03443
2152,-1.41089
2153,0.18016
2154,0.44473999999999997
2155,-0.89144
2156,-0.7257899999999999
2157,-0.6977899999999999
2158,-0.59923
2159,-0.8618100000000001
2160,-1.15228
