Time (Year),npp
1851,56.7504
1852,56.95771
1853,57.19059
1854,56.862930000000006
1855,57.27489
1856,58.37328
1857,57.7267
1858,58.58171
1859,59.18278000000001
1860,59.883469999999996
1861,59.179730000000006
1862,59.374019999999994
1863,60.04444
1864,60.8685
1865,60.390719999999995
1866,60.68936
1867,62.00101
1868,60.97696
1869,62.487080000000006
1870,63.3969
1871,62.374590000000005
1872,62.38397
1873,62.4522
1874,63.35869
1875,64.724
1876,64.90453000000001
1877,64.94725
1878,64.43053
1879,64.69838
1880,66.59437
1881,66.39533
1882,66.65043
1883,65.63009
1884,66.81148
1885,66.91115
1886,67.28815999999999
1887,68.2453
1888,67.9992
1889,68.1717
1890,69.36187
1891,69.41934
1892,69.29155
1893,70.8399
1894,71.41230999999999
1895,71.88984
1896,69.85061
1897,70.27702
1898,72.16823000000001
1899,72.20844
1900,73.92088000000001
1901,73.70537
1902,69.64055
1903,71.24678
1904,72.84544
1905,70.49906999999999
1906,71.57451999999999
1907,70.10878000000001
1908,69.5783
1909,71.05715
1910,70.00444
1911,70.06119
1912,69.93321
1913,69.42600999999999
1914,69.31045999999999
1915,68.68278000000001
1916,69.4915
1917,69.13249
1918,69.83492
1919,69.53206999999999
1920,68.46611999999999
1921,70.13293
1922,69.17447
1923,68.37764
1924,69.32160999999999
1925,69.06323
1926,70.11891999999999
1927,69.36901999999999
1928,68.67373
1929,67.17585
1930,67.87077
1931,68.51586999999999
1932,68.82975
1933,67.25383000000001
1934,67.69984000000001
1935,68.21127
1936,68.2611
1937,67.73045
1938,66.81057
1939,67.98159
1940,69.40043
1941,68.9329
1942,68.33008000000001
1943,67.77494
1944,67.74574
1945,67.62366999999999
1946,68.49218
1947,68.12613
1948,68.50365
1949,67.80682
1950,68.85978
1951,67.51253
1952,68.60575
1953,67.76345
1954,68.37675
1955,67.69275
1956,66.1291
1957,66.82547
1958,66.92885
1959,67.703
1960,67.20953
1961,66.83301999999999
1962,66.16213
1963,67.17801999999999
1964,67.96878000000001
1965,66.92631
1966,67.37023
1967,67.79718000000001
1968,68.87431
1969,67.14197
1970,66.79986
1971,67.11273
1972,66.65911
1973,67.13148000000001
1974,66.84374
1975,66.74226
1976,67.96972
1977,65.47298
1978,66.67074000000001
1979,66.98419
1980,68.31286999999999
1981,66.54924
1982,66.28949
1983,65.96869000000001
1984,66.5201
1985,66.12432
1986,66.1049
1987,66.22289
1988,66.01954
1989,67.08158
1990,66.60608
1991,67.24028
1992,65.93406999999999
1993,66.19963
1994,67.06421
1995,66.87605
1996,66.9975
1997,65.44003000000001
1998,66.37823
1999,66.85766
2000,67.39658
2001,67.59825
2002,66.24107
2003,65.9797
2004,65.82478
2005,66.77723
2006,65.41923
2007,67.24299
2008,66.59795
2009,67.15345
2010,66.53096
2011,66.23454
2012,65.96274
2013,65.92119
2014,65.32306
2015,66.29708000000001
2016,67.1706
2017,67.38302
2018,66.77405
2019,66.13382
2020,66.25765
2021,66.03775
2022,66.39149
2023,66.51411999999999
2024,66.72584
2025,66.31799000000001
2026,65.43483
2027,65.00197
2028,66.58641
2029,67.67485
2030,65.5951
2031,65.86764000000001
2032,67.53485
2033,66.09685
2034,66.18866
2035,65.79545999999999
2036,66.53078000000001
2037,65.6011
2038,66.06429
2039,67.00835
2040,66.66402
2041,65.69268000000001
2042,65.27642
2043,66.21995
2044,64.85086
2045,66.49845
2046,66.52653000000001
2047,65.07166
2048,66.62531
2049,65.47999
2050,66.4253
2051,66.19702
2052,65.59812
2053,65.00601999999999
2054,66.49398000000001
2055,66.44765
2056,65.11469
2057,66.28723000000001
2058,65.65499
2059,65.17962
2060,65.13205
2061,65.22371
2062,65.92793
2063,66.18508
2064,66.3492
2065,65.02096
2066,65.04324
2067,65.43204
2068,66.06931
2069,65.73984
2070,66.39894
2071,64.98666
2072,65.28432
2073,65.81286
2074,66.5948
2075,66.3424
2076,66.45904
2077,64.89859
2078,65.26004
2079,65.93933
2080,66.20577
2081,65.95886
2082,63.86445
2083,64.95894
2084,66.24365
2085,66.61782
2086,64.84389
2087,65.00798
2088,66.03204000000001
2089,66.71537
2090,66.09470999999999
2091,65.04169
2092,64.61392
2093,66.38901
2094,65.8903
2095,65.19236
2096,65.11142
2097,65.07089
2098,65.48852
2099,65.99693
2100,65.21048
2101,64.69025
2102,64.72842
2103,64.5711
2104,65.07937
2105,63.687369999999994
2106,64.68647
2107,64.76966999999999
2108,63.53306
2109,65.20931999999999
2110,64.85974
2111,65.82555
2112,65.70903
2113,63.8733
2114,64.30205
2115,64.28432
2116,64.75704
2117,64.69927
2118,64.43611999999999
2119,65.00356
2120,63.577
2121,64.7155
2122,65.932
2123,65.16074
2124,65.69091
2125,64.47411
2126,64.10324
2127,65.22009
2128,64.23164
2129,64.56835
2130,64.99131
2131,64.69091999999999
2132,64.80663
2133,64.66618000000001
2134,65.27971
2135,65.91171
2136,64.59245
2137,64.70819
2138,64.76581
2139,65.12805999999999
2140,65.33254000000001
2141,63.67581
2142,63.54959
2143,65.13051
2144,65.14658
2145,65.1919
2146,65.58349
2147,64.88701
2148,65.2102
2149,65.35173
2150,65.37597
2151,63.31742
2152,63.99561
2153,65.38784
2154,64.5221
2155,64.984
2156,64.45181
2157,63.863119999999995
2158,64.56331999999999
2159,64.33402
2160,64.8122
