Time (Year),rh
1851,55.345859999999995
1852,55.85055
1853,54.88718000000001
1854,54.922340000000005
1855,55.70786
1856,55.8143
1857,55.99511
1858,55.46536
1859,55.48523
1860,56.853390000000005
1861,57.26996
1862,56.0275
1863,55.58915
1864,56.553819999999995
1865,57.86945
1866,57.23356999999999
1867,56.37826
1868,56.51359
1869,56.53954
1870,57.233630000000005
1871,57.889340000000004
1872,59.9426
1873,58.066919999999996
1874,57.41393000000001
1875,58.13745
1876,59.1149
1877,60.1784
1878,58.95786999999999
1879,57.85621
1880,59.192
1881,59.45887
1882,60.7378
1883,60.975359999999995
1884,60.46745
1885,60.268269999999994
1886,61.09211
1887,62.54088
1888,61.77392
1889,61.488459999999996
1890,63.63635
1891,63.519259999999996
1892,62.3882
1893,62.161030000000004
1894,62.38573
1895,64.48085
1896,65.81118000000001
1897,64.62395
1898,63.38944
1899,64.0334
1900,64.85422
1901,67.07795
1902,66.93278000000001
1903,64.90911
1904,65.16962
1905,65.03749
1906,66.09618
1907,67.92439
1908,66.91685
1909,65.28416
1910,65.7891
1911,66.51836999999999
1912,67.76645
1913,68.8395
1914,66.93677
1915,66.15573
1916,66.67169
1917,67.28734
1918,67.90683
1919,67.33189
1920,66.93231
1921,67.801
1922,67.76413000000001
1923,67.60755999999999
1924,67.95018
1925,66.37737
1926,66.89949
1927,67.21065
1928,68.36225
1929,66.73506
1930,65.98145
1931,66.3866
1932,67.99207
1933,68.56087
1934,66.20503000000001
1935,66.43928000000001
1936,66.19293
1937,67.89524
1938,68.20607
1939,66.13526
1940,66.02141
1941,66.46449
1942,66.47305
1943,66.7413
1944,67.16595
1945,67.10614
1946,67.36715
1947,66.60069
1948,66.40154
1949,66.84477
1950,68.22306
1951,67.33485999999999
1952,66.48281999999999
1953,66.22828
1954,66.65156
1955,66.32759
1956,68.00773000000001
1957,67.22169
1958,66.37567
1959,65.70449
1960,65.64517
1961,66.88835999999999
1962,67.08994
1963,65.5102
1964,65.52401
1965,65.96467
1966,65.88824
1967,66.45206999999999
1968,66.42973
1969,67.92389
1970,66.82514
1971,66.04252
1972,66.161
1973,66.78631
1974,66.01091
1975,65.97613
1976,66.9668
1977,68.01396
1978,65.46485
1979,64.96088
1980,66.02941
1981,66.00202
1982,65.79245
1983,65.67885
1984,65.37255
1985,66.19721
1986,66.05558
1987,65.46115999999999
1988,65.35585999999999
1989,65.73567
1990,65.85776
1991,66.28745
1992,67.29274000000001
1993,65.47547
1994,65.57961
1995,65.31051
1996,65.75024
1997,67.50585
1998,65.68816
1999,64.81401
2000,65.15746999999999
2001,65.35483
2002,65.32567
2003,64.9272
2004,65.24329
2005,66.17636999999999
2006,67.57094000000001
2007,65.75861
2008,65.04534
2009,64.1853
2010,65.11588
2011,65.38143000000001
2012,65.14113
2013,65.67864
2014,66.52314
2015,65.29979
2016,64.91809
2017,64.78669000000001
2018,65.49261
2019,66.80741
2020,65.66453
2021,64.75341999999999
2022,65.01317
2023,65.04815
2024,65.71575
2025,66.51013
2026,67.01173
2027,64.38509
2028,64.23411
2029,65.93658
2030,67.18655
2031,64.80568000000001
2032,65.18172
2033,65.26032
2034,65.53650999999999
2035,65.27001
2036,65.66694
2037,66.80526
2038,64.5536
2039,64.67033
2040,66.01057
2041,66.8021
2042,65.36778000000001
2043,64.25395999999999
2044,64.17976999999999
2045,65.10906999999999
2046,66.89556999999999
2047,66.74033
2048,64.87188
2049,64.01993
2050,65.14692
2051,65.53414000000001
2052,67.24540999999999
2053,64.89113
2054,64.35676
2055,64.81860999999999
2056,65.6904
2057,65.3762
2058,64.75559
2059,65.13391999999999
2060,64.22221
2061,63.79805
2062,64.02119
2063,64.90802
2064,65.86587
2065,65.685
2066,64.11648000000001
2067,64.13486
2068,64.33109
2069,64.61825999999999
2070,66.67966
2071,66.40838000000001
2072,64.5847
2073,63.49981999999999
2074,63.927980000000005
2075,64.75272
2076,66.31245
2077,65.41441
2078,63.892140000000005
2079,64.52204
2080,65.82118
2081,66.0555
2082,64.29489000000001
2083,63.59465
2084,64.43313
2085,66.25065
2086,66.473
2087,63.9961
2088,63.63491
2089,64.54781
2090,64.67044
2091,66.05762
2092,64.83136999999999
2093,64.14403
2094,64.52238
2095,65.4507
2096,64.0256
2097,63.728809999999996
2098,64.22734
2099,64.23031999999999
2100,64.1388
2101,65.38873000000001
2102,64.87271
2103,64.05830999999999
2104,63.991969999999995
2105,64.07543000000001
2106,63.852340000000005
2107,65.27564
2108,65.93569000000001
2109,63.49179
2110,62.92762
2111,64.06325
2112,65.85221999999999
2113,64.25867
2114,63.78255
2115,64.06902
2116,63.92329
2117,63.82959
2118,63.20893
2119,64.92625
2120,65.7887
2121,63.43874
2122,63.529469999999996
2123,63.02932
2124,64.39524
2125,65.73352
2126,64.24514
2127,63.066030000000005
2128,63.263659999999994
2129,63.878769999999996
2130,64.72231
2131,65.59581999999999
2132,63.520230000000005
2133,62.94576
2134,62.71285
2135,64.21387
2136,65.96418
2137,63.7528
2138,62.99665
2139,63.354209999999995
2140,64.66015
2141,65.48066999999999
2142,63.71665
2143,63.226380000000006
2144,63.477990000000005
2145,63.921980000000005
2146,64.22615
2147,64.22195
2148,64.15524
2149,63.75668
2150,63.999219999999994
2151,65.289
2152,64.40813
2153,62.876830000000005
2154,62.96893000000001
2155,65.08886
2156,65.15850999999999
2157,63.36901999999999
2158,63.67389
2159,63.371919999999996
2160,64.14675
