Time (Year),rsdt
1851,340.20856000000003
1852,340.20853
1853,340.20858
1854,340.20853999999997
1855,340.20856000000003
1856,340.20857
1857,340.20856000000003
1858,340.20858
1859,340.20857
1860,340.20857
1861,340.20858
1862,340.20853
1863,340.20857
1864,340.20855
1865,340.20852
1866,340.20853
1867,340.20858
1868,340.20855
1869,340.20852
1870,340.20853
1871,340.20851
1872,340.2085
1873,340.20856000000003
1874,340.20855
1875,340.20855
1876,340.20855
1877,340.20851
1878,340.20855
1879,340.20852
1880,340.20855
1881,340.20847000000003
1882,340.20856000000003
1883,340.20856000000003
1884,340.20855
1885,340.20855
1886,340.20853999999997
1887,340.20852
1888,340.20853999999997
1889,340.20852
1890,340.20855
1891,340.20851
1892,340.20851
1893,340.20855
1894,340.20856000000003
1895,340.20859
1896,340.20855
1897,340.20857
1898,340.20855
1899,340.20853
1900,340.20853999999997
1901,340.20853999999997
1902,340.20851
1903,340.2085
1904,340.20852
1905,340.20857
1906,340.20853999999997
1907,340.20853999999997
1908,340.20855
1909,340.20856000000003
1910,340.20855
1911,340.20853
1912,340.20852
1913,340.2085
1914,340.20853999999997
1915,340.20855
1916,340.20856000000003
1917,340.20852
1918,340.20857
1919,340.20856000000003
1920,340.20857
1921,340.20851
1922,340.20853
1923,340.20855
1924,340.20859
1925,340.20851
1926,340.20853999999997
1927,340.20853
1928,340.20853
1929,340.20852
1930,340.20856000000003
1931,340.20853
1932,340.20855
1933,340.20852
1934,340.20849
1935,340.20852
1936,340.2085
1937,340.20852
1938,340.20853999999997
1939,340.20853
1940,340.20855
1941,340.20853
1942,340.20852
1943,340.20856000000003
1944,340.20852
1945,340.2085
1946,340.20853999999997
1947,340.20853999999997
1948,340.20853
1949,340.20852
1950,340.20855
1951,340.20855
1952,340.20853999999997
1953,340.20851
1954,340.20853999999997
1955,340.20855
1956,340.20852
1957,340.20852
1958,340.20849
1959,340.20857
1960,340.20853999999997
1961,340.20857
1962,340.20851
1963,340.20857
1964,340.20853999999997
1965,340.20857
1966,340.20855
1967,340.20853999999997
1968,340.20852
1969,340.20852
1970,340.20848
1971,340.20856000000003
1972,340.20857
1973,340.20852
1974,340.20856000000003
1975,340.20857
1976,340.20856000000003
1977,340.20852
1978,340.20853
1979,340.20852
1980,340.20855
1981,340.20855
1982,340.20857
1983,340.20856000000003
1984,340.20857
1985,340.20852
1986,340.20856000000003
1987,340.20855
1988,340.2085
1989,340.20855
1990,340.20853999999997
1991,340.20857
1992,340.20852
1993,340.20851
1994,340.20853
1995,340.20855
1996,340.20857
1997,340.2085
1998,340.20851
1999,340.20855
2000,340.20853999999997
2001,340.20852
2002,340.20855
2003,340.20849
2004,340.2085
2005,340.20853999999997
2006,340.2085
2007,340.20855
2008,340.20857
2009,340.20855
2010,340.20855
2011,340.20853999999997
2012,340.20855
2013,340.20856000000003
2014,340.20851
2015,340.20853999999997
2016,340.20851
2017,340.20852
2018,340.20853
2019,340.20853
2020,340.20855
2021,340.20853999999997
2022,340.20858
2023,340.20855
2024,340.20846
2025,340.2085
2026,340.20855
2027,340.20855
2028,340.20851
2029,340.20848
2030,340.20853999999997
2031,340.20855
2032,340.20853
2033,340.20852
2034,340.20853999999997
2035,340.20853999999997
2036,340.2086
2037,340.20851
2038,340.20851
2039,340.20856000000003
2040,340.20848
2041,340.20852
2042,340.20858
2043,340.20862
2044,340.20853
2045,340.20853
2046,340.20853
2047,340.20856000000003
2048,340.2086
2049,340.20858
2050,340.20853
2051,340.20859
2052,340.20853999999997
2053,340.20855
2054,340.20858
2055,340.20853999999997
2056,340.20852
2057,340.20856000000003
2058,340.20852
2059,340.20853
2060,340.20853999999997
2061,340.20855
2062,340.20853999999997
2063,340.20857
2064,340.20853
2065,340.2085
2066,340.2085
2067,340.20852
2068,340.20859
2069,340.20855
2070,340.20852
2071,340.20852
2072,340.20857
2073,340.20857
2074,340.20852
2075,340.20859
2076,340.20851
2077,340.20852
2078,340.20858
2079,340.20853
2080,340.20858
2081,340.20853999999997
2082,340.20853999999997
2083,340.20856000000003
2084,340.20855
2085,340.20853
2086,340.2085
2087,340.20855
2088,340.20856000000003
2089,340.20853999999997
2090,340.20852
2091,340.20856000000003
2092,340.20856000000003
2093,340.20852
2094,340.20853999999997
2095,340.20852
2096,340.20851
2097,340.20856000000003
2098,340.2085
2099,340.20851
2100,340.20855
2101,340.20856000000003
2102,340.20852
2103,340.20859
2104,340.20855
2105,340.20852
2106,340.20852
2107,340.20855
2108,340.20857
2109,340.20851
2110,340.20853999999997
2111,340.20856000000003
2112,340.20852
2113,340.2085
2114,340.20855
2115,340.20853
2116,340.20853
2117,340.20852
2118,340.20855
2119,340.20857
2120,340.20847000000003
2121,340.20856000000003
2122,340.20851
2123,340.20855
2124,340.20852
2125,340.20853
2126,340.20859
2127,340.20853999999997
2128,340.20853
2129,340.20853
2130,340.20852
2131,340.20852
2132,340.20853999999997
2133,340.20856000000003
2134,340.20853999999997
2135,340.20857
2136,340.20852
2137,340.20853
2138,340.20852
2139,340.20855
2140,340.20853
2141,340.20856000000003
2142,340.20855
2143,340.20852
2144,340.20853
2145,340.20853999999997
2146,340.20848
2147,340.20851
2148,340.20855
2149,340.20852
2150,340.20855
2151,340.20851
2152,340.20851
2153,340.20859
2154,340.20851
2155,340.20852
2156,340.20855
2157,340.20856000000003
2158,340.20856000000003
2159,340.20855
2160,340.20855
