Time (Year),rsut
1851,108.73765
1852,108.58431000000002
1853,108.91842
1854,108.45338999999998
1855,108.72278999999999
1856,108.6715
1857,108.48471
1858,108.30734
1859,108.24038999999999
1860,108.20976999999999
1861,108.7512
1862,108.56978000000001
1863,108.37498000000001
1864,108.29953
1865,108.43896000000001
1866,108.58724
1867,108.10543999999999
1868,108.73343
1869,108.31101000000001
1870,108.17905
1871,108.35221000000001
1872,108.64016000000001
1873,108.18916999999999
1874,108.45776000000001
1875,108.24058000000001
1876,108.2385
1877,108.23283
1878,108.17371000000001
1879,108.38842
1880,108.03822
1881,108.30906
1882,108.32233000000001
1883,108.44606
1884,108.02232
1885,108.32287
1886,108.02725
1887,107.97673999999999
1888,108.17625
1889,107.90835
1890,108.02311999999999
1891,107.97984
1892,108.29145
1893,108.05771000000001
1894,107.85605
1895,107.76361000000001
1896,108.16055
1897,107.905
1898,107.77768999999999
1899,107.90163999999999
1900,107.74245
1901,107.70078999999998
1902,108.29547
1903,108.28612
1904,108.05208
1905,108.04805
1906,107.91368999999999
1907,108.13689
1908,107.8278
1909,107.80715
1910,107.52167
1911,107.66423999999999
1912,107.75426000000002
1913,107.70238
1914,107.29993
1915,107.50058
1916,107.63535
1917,107.78636000000002
1918,107.02435
1919,107.59796000000001
1920,107.91373999999999
1921,107.56752
1922,107.18139
1923,107.14517
1924,106.91266
1925,107.26921999999999
1926,107.74905
1927,107.02736999999999
1928,106.98078000000001
1929,106.93546
1930,107.11498999999999
1931,106.84513000000001
1932,106.95376999999999
1933,106.98761
1934,106.91656
1935,107.15596000000001
1936,106.87031
1937,106.62142
1938,106.76443
1939,106.87812
1940,106.74452
1941,106.6812
1942,106.88656
1943,106.68735
1944,106.80651
1945,106.53938000000001
1946,106.48923
1947,106.57303
1948,106.76471000000001
1949,106.34021000000001
1950,106.8928
1951,106.33681000000001
1952,106.7853
1953,106.5824
1954,106.42363999999999
1955,105.95035
1956,106.68484
1957,107.04346000000001
1958,106.63005
1959,106.4636
1960,105.98589
1961,106.8744
1962,106.58563000000001
1963,106.65418000000001
1964,106.45651000000001
1965,107.00771
1966,106.3091
1967,106.39245
1968,106.2679
1969,106.80532
1970,106.47873999999999
1971,106.51755
1972,106.20801000000002
1973,106.41005
1974,106.55266
1975,106.60564
1976,106.61915
