Time (Year),tos
1851,291.33252000000005
1852,291.30072
1853,291.19412
1854,291.25801
1855,291.23321
1856,291.30613
1857,291.32906
1858,291.2529
1859,291.3288
1860,291.46139
1861,291.45312
1862,291.26452
1863,291.26926000000003
1864,291.40786
1865,291.59896000000003
1866,291.45234
1867,291.39811000000003
1868,291.36399
1869,291.33472
1870,291.44389
1871,291.65266
1872,291.70025
1873,291.46536000000003
1874,291.42087000000004
1875,291.45279
1876,291.59069
1877,291.68455
1878,291.51506
1879,291.43175
1880,291.51658
1881,291.56399
1882,291.70243
1883,291.6318
1884,291.49869
1885,291.49951
1886,291.69723
1887,291.80868
1888,291.6982
1889,291.76838
1890,291.96046
1891,291.98117
1892,291.74532
1893,291.66579
1894,291.81223
1895,291.98478
1896,292.10601
1897,291.91937
1898,291.80105
1899,291.86056
1900,291.98633
1901,292.13412
1902,292.10027
1903,291.86445
1904,291.87536
1905,291.96574
1906,292.15697
1907,292.13102000000003
1908,291.90996
1909,291.98112000000003
1910,292.21952999999996
1911,292.35957
1912,292.13406000000003
1913,292.0496
1914,292.19558
1915,292.35272000000003
1916,292.41355
1917,292.19856
1918,292.0231
1919,292.00354
1920,292.05652000000003
1921,292.14645
1922,292.31224
1923,292.29247000000004
1924,292.08023
1925,292.16407999999996
1926,292.33955
1927,292.32664
1928,292.06859
1929,291.98627999999997
1930,292.16643999999997
1931,292.35606
1932,292.23827
1933,291.86937
1934,291.93471
1935,292.06122999999997
1936,292.1446
1937,292.30105
1938,292.24446
1939,292.30306
1940,292.34154
1941,292.00629
1942,292.06
1943,292.17843999999997
1944,292.30541
1945,292.11876
1946,292.02053
1947,292.21947
1948,292.43036
1949,292.36512
1950,292.07883
1951,291.96827
1952,292.0141
1953,292.11771
1954,292.20119
1955,292.19703
1956,292.08853
1957,292.11747
1958,292.20684
1959,292.16348
1960,292.10888
1961,292.16307
1962,292.21412000000004
1963,292.21606
1964,291.98704
1965,292.02033
1966,292.20412999999996
1967,292.32899
1968,292.19735
1969,291.99043
1970,292.03086
1971,292.16715
1972,292.32361000000003
1973,292.1147
1974,291.977
1975,292.03032
1976,292.24905
1977,292.11222000000004
1978,291.93044
1979,291.83108
1980,291.95146
1981,292.18397000000004
1982,292.20414
1983,292.1273
1984,292.01547999999997
1985,291.91728
1986,292.07866
1987,292.24346
1988,292.0403
1989,291.9514
1990,291.88454
1991,292.02547000000004
1992,292.19025
1993,291.98891000000003
1994,291.87106
1995,291.95256
1996,292.16364
1997,292.18579
1998,291.9421
1999,291.94882
2000,292.09823
2001,292.09415
2002,292.18464
2003,292.00205
2004,291.93674
2005,292.00487999999996
2006,292.09927000000005
2007,292.19397000000004
2008,291.99622999999997
2009,291.86323
2010,291.91657000000004
2011,292.01854
2012,292.25775
2013,292.12187
2014,291.87573
2015,291.90323
2016,292.0316
2017,292.15127
2018,291.90168
2019,291.94268999999997
2020,291.96317
2021,292.05807000000004
2022,292.15967
2023,292.10087000000004
2024,291.93186000000003
2025,291.94273
2026,292.02468999999996
2027,291.91747999999995
2028,292.02032
2029,292.20247
2030,291.96491000000003
2031,291.9469
2032,291.96492
2033,292.00804
2034,292.15785
2035,292.16544
2036,291.97159
2037,291.9201
2038,292.04115
2039,292.21026
2040,292.23937
2041,291.88721
2042,291.92668
2043,292.09295
2044,292.22716
2045,292.00399
2046,291.95321
2047,291.92852999999997
2048,291.98211000000003
2049,292.05752
2050,291.93706000000003
2051,291.90287
2052,291.93859
2053,291.99555
2054,292.0475
2055,292.05891
2056,291.90162999999995
2057,291.99127999999996
2058,292.06219
2059,292.08858
2060,292.07055
2061,291.90274
2062,291.87694
2063,291.96592999999996
2064,291.98675
2065,292.09431
2066,292.13989
2067,292.17714
2068,292.12138
2069,291.89102
2070,291.8876
2071,291.95063999999996
2072,292.1081
2073,292.05045
2074,291.90787
2075,291.9545
2076,291.89925
2077,291.93118
2078,292.05292000000003
2079,292.05682
2080,291.86892
2081,291.85456
2082,291.98149
2083,292.06895
2084,291.90741
2085,291.84237
2086,291.99877999999995
2087,292.10252
2088,291.90305
2089,291.75777
2090,291.73561
2091,291.87842
2092,292.04848
2093,292.14187999999996
2094,291.85609
2095,291.74863999999997
2096,291.87225
2097,292.0796
2098,292.11287000000004
2099,291.92332999999996
2100,291.94426
2101,291.97007
2102,292.04259
2103,292.00194
2104,291.8153
2105,291.83538
2106,291.96296
2107,292.01207999999997
2108,291.91202999999996
2109,291.8554
2110,291.96229
2111,291.9724
2112,292.00621
2113,291.96326
2114,291.82245
2115,291.87318
2116,292.0701
2117,292.09821
2118,291.84786
2119,291.82195
2120,291.90751
2121,292.04224
2122,292.21092000000004
2123,292.05696
2124,291.86169
2125,291.80694
2126,291.89785
2127,291.95972
2128,291.94361000000004
2129,292.07844
2130,292.16615
2131,291.92566
2132,291.87113999999997
2133,291.96393
2134,292.10582999999997
2135,292.12778
2136,291.85561
2137,291.81326
2138,291.99081
2139,292.11742000000004
2140,292.16347
2141,292.03853
2142,291.7245
2143,291.70842000000005
2144,291.83099
2145,291.99962999999997
2146,292.04202000000004
2147,291.89282000000003
2148,291.89711
2149,291.92697999999996
2150,291.96653
2151,291.96314
2152,291.98461000000003
2153,291.88473
2154,291.92182
2155,292.00651
2156,292.0379
2157,291.98703
2158,291.99677
2159,292.07397000000003
2160,292.15255
