year,dissicos
1851,2002.1255
1852,2003.4022
1853,2005.0481
1854,2006.851
1855,2007.0632
1856,2007.5273
1857,2008.2177
1858,2010.2279999999998
1859,2012.1816
1860,2013.7631
1861,2014.6445
1862,2016.2677
1863,2018.6001
1864,2019.5409
1865,2020.6003
1866,2023.3085
1867,2025.7651
1868,2027.864
1869,2027.9932
1870,2029.0033
1871,2032.0928
1872,2033.6187
1873,2035.6113
1874,2036.2666
1875,2039.2292
1876,2041.6141
1877,2043.7795
1878,2045.4026
1879,2046.9375
1880,2047.6312
1881,2049.2903
1882,2051.502
1883,2053.9185
1884,2055.509
1885,2056.2595
1886,2057.5229999999997
1887,2059.033
1888,2060.8906
1889,2063.7256
1890,2065.153
1891,2067.9023
1892,2070.9177
1893,2071.7637
1894,2072.014
1895,2073.236
1896,2074.0828
1897,2076.215
1898,2078.4011
1899,2080.3435
1900,2082.772
1901,2084.199
1902,2086.8982
1903,2087.6736
1904,2088.876
1905,2091.1965
1906,2093.032
1907,2094.1738
1908,2096.3599
1909,2097.55
1910,2099.7993
1911,2101.3696
1912,2103.3206
1913,2104.9026
1914,2106.874
1915,2108.8555
1916,2110.7595
1917,2112.2327
1918,2112.8372
1919,2114.2185
1920,2116.3823
1921,2117.5645
1922,2119.4844
1923,2121.3167
1924,2122.883
1925,2123.9404
1926,2126.5317
1927,2128.6917
1928,2129.3720000000003
1929,2129.7253
1930,2132.7766
1931,2134.0886
1932,2135.3696
1933,2137.6462
1934,2140.5508
1935,2141.5256
1936,2141.8943
1937,2143.7773
1938,2145.3713
1939,2146.928
1940,2148.0325
1941,2149.0283
1942,2151.632
1943,2153.5686
1944,2153.9395
1945,2154.7988
1946,2157.8720000000003
1947,2160.5554
1948,2162.2913
1949,2162.522
1950,2163.5044
1951,2164.5376
1952,2165.864
1953,2167.4153
1954,2170.9983
1955,2173.0286
1956,2174.5972
1957,2175.25
1958,2177.2183
1959,2178.2070000000003
1960,2178.173
1961,2179.8176
1962,2182.7898
1963,2183.1675
1964,2184.008
1965,2185.141
1966,2186.9695
1967,2188.0237
1968,2189.6968
1969,2191.5706
1970,2193.012
1971,2194.8691
1972,2195.551
1973,2196.6597
1974,2198.4229
1975,2199.5679999999998
1976,2200.6313
1977,2202.1611
1978,2203.0579
1979,2205.167
1980,2206.2031
1981,2207.2905
1982,2210.364
1983,2211.5486
1984,2212.2048
1985,2213.4146
1986,2215.5408
1987,2216.2695
1988,2217.228
1989,2219.3755
1990,2219.8481
1991,2221.904
1992,2223.3
1993,2225.0308
1994,2226.1492
1995,2228.3115
1996,2229.5718
1997,2230.083
1998,2230.7012
1999,2231.7026
2000,2232.9502
