year,cLand
1851.0,2356.549757777
1852.0,2358.816475308
1853.0,2360.489030309
1854.0,2362.290284046
1855.0,2364.396535697
1856.0,2366.311430405
1857.0,2367.489918346
1858.0,2368.246884022
1859.0,2370.864513857
1860.0,2372.805851307
1861.0,2373.8700286539997
1862.0,2374.282933716
1863.0,2376.480622977
1864.0,2380.2170048460002
1865.0,2382.120801761
1866.0,2383.722457371
1867.0,2387.788121332
1868.0,2392.258170348
1869.0,2396.325624142
1870.0,2397.499868801
1871.0,2400.228403806
1872.0,2403.661195494
1873.0,2407.3265645389997
1874.0,2409.082089599
1875.0,2412.773354771
1876.0,2417.3228792970003
1877.0,2421.606424611
1878.0,2426.1696984679998
1879.0,2429.605174925
1880.0,2432.894030044
1881.0,2436.626800544
1882.0,2440.025216783
1883.0,2443.289195804
1884.0,2449.02856391
1885.0,2455.0325100970003
1886.0,2457.510057369
1887.0,2460.4878938879997
1888.0,2464.49387604
1889.0,2468.6638801629997
1890.0,2473.381504892
1891.0,2477.710641414
1892.0,2483.642169046
1893.0,2488.647476889
1894.0,2492.055566771
1895.0,2494.054100444
1896.0,2496.932402335
1897.0,2499.2916161860003
1898.0,2503.450951045
1899.0,2508.156300529
1900.0,2512.806482902
1901.0,2516.244343336
1902.0,2519.774113471
1903.0,2523.757669543
1904.0,2526.169716791
1905.0,2530.4171361020003
1906.0,2534.099652055
1907.0,2537.951164309
1908.0,2541.276471685
1909.0,2543.2439162220003
1910.0,2545.069847662
1911.0,2547.0376364040008
1912.0,2548.214533093
1913.0,2550.827657243
1914.0,2553.52408771
1915.0,2555.752003306
1916.0,2555.780490211
1917.0,2554.35336739
1918.0,2554.95114177
1919.0,2556.002645815
1920.0,2557.6944944
1921.0,2558.984797247
1922.0,2559.572957844
1923.0,2559.79512256
1924.0,2558.428136985
1925.0,2559.253719761
1926.0,2561.4011326580003
1927.0,2562.9031180320003
1928.0,2562.83996555
1929.0,2563.032638905
1930.0,2563.2416733970003
1931.0,2562.578212054
1932.0,2562.314415388
1933.0,2563.013944807
1934.0,2563.8367032240008
1935.0,2563.915420045
1936.0,2562.89187553
1937.0,2565.159750983
1938.0,2567.7987292770003
1939.0,2567.162201596
1940.0,2565.846237309
1941.0,2566.818149334
1942.0,2566.742492497
1943.0,2567.041329203
1944.0,2567.413693971
1945.0,2567.557018107
1946.0,2568.240278657
1947.0,2568.307529711
1948.0,2569.075239975
1949.0,2570.328506192
1950.0,2570.435199053
1951.0,2570.682265852
1952.0,2570.898265876
1953.0,2568.987226238
1954.0,2567.585453926
1955.0,2568.945522392
1956.0,2569.257612571
1957.0,2569.755964693
1958.0,2570.140362124
1959.0,2571.0927288029998
1960.0,2570.5072511529997
1961.0,2569.19637653
1962.0,2568.903010869
1963.0,2569.378705386
1964.0,2569.749544689
1965.0,2570.193278828
1966.0,2568.71642973
1967.0,2569.230858012
1968.0,2571.9859994979997
1969.0,2571.371255822
1970.0,2568.833164827
1971.0,2568.619279292454
1972.0,2568.4682203666725
1973.0,2568.46153249066
1974.0,2568.3208886750954
1975.0,2569.760722086355
1976.0,2571.066559806297
1977.0,2570.009895391527
1978.0,2570.146996703897
1979.0,2569.1271794749273
1980.0,2569.074580149779
1981.0,2569.5326639361074
1982.0,2569.796331454901
1983.0,2569.133964833095
1984.0,2568.576806155485
1985.0,2569.7344094206755
1986.0,2571.762886882508
1987.0,2572.558441514647
1988.0,2572.2350231607
1989.0,2573.154860172732
1990.0,2571.667170225097
1991.0,2569.43176252705
1992.0,2569.6282695460677
1993.0,2570.1669058945167
1994.0,2570.329582533408
1995.0,2570.2914236155507
1996.0,2571.2043517064803
1997.0,2572.0514453448222
1998.0,2572.936435880737
1999.0,2574.3449389878124
2000.0,2573.604823090376
2001.0,2571.797002563521
2002.0,2572.102069383265
2003.0,2571.981629478052
