year,tos
1851,290.9427722930908
1852,290.96208610534666
1853,290.96275367736814
1854,290.9221996307373
1855,291.02197494506834
1856,291.06082382202146
1857,291.1597103118896
1858,291.1162017822265
1859,291.06343879699705
1860,291.1279815673828
1861,291.2063335418701
1862,291.15950050354
1863,291.0662311553955
1864,291.1257995605468
1865,291.2604507446289
1866,291.1309532165527
1867,291.1045917510986
1868,291.10404815673826
1869,291.2542537689209
1870,291.40298118591306
1871,291.32601776123045
1872,291.2983554840088
1873,291.31194343566887
1874,291.44934310913084
1875,291.4032730102539
1876,291.38217582702634
1877,291.4139751434326
1878,291.4552997589111
1879,291.548380279541
1880,291.557506942749
1881,291.6129383087158
1882,291.6514610290527
1883,291.5245365142822
1884,291.5496276855468
1885,291.7356475830078
1886,291.8184112548828
1887,291.7631019592285
1888,291.80906143188474
1889,291.7991146087646
1890,291.8609336853027
1891,291.8141616821289
1892,291.7385143280029
1893,291.8323177337646
1894,292.00841941833494
1895,292.0630744934082
1896,292.0856346130371
1897,292.0916179656982
1898,292.0861686706543
1899,292.0370868682861
1900,292.06174697875974
1901,292.10738983154295
1902,292.1284393310546
1903,292.1662525177002
1904,292.23920860290525
1905,292.1106819152832
1906,292.0591396331787
1907,291.99856033325193
1908,292.0478385925293
1909,292.1265529632568
1910,292.17051162719724
1911,292.2739185333252
1912,292.2464889526367
1913,292.1291564941406
1914,292.2006839752197
1915,292.22265472412107
1916,292.37910118103025
1917,292.3274959564209
1918,292.28607215881345
1919,292.2869304656982
1920,292.2069896697998
1921,292.22378005981443
1922,292.20352401733396
1923,292.3445571899414
1924,292.3367446899414
1925,292.1923889160156
1926,292.2075942993164
1927,292.23101081848137
1928,292.1982368469238
1929,292.30885925292966
1930,292.39013900756834
1931,292.3673023223877
1932,292.3557781219482
1933,292.331396484375
1934,292.31353225708006
1935,292.3447689056396
1936,292.30002250671384
1937,292.1503089904785
1938,292.2062534332275
1939,292.3653415679932
1940,292.31826438903806
1941,292.28464736938474
1942,292.29301300048826
1943,292.25137939453117
1944,292.2456916809082
1945,292.1966613769531
1946,292.22805824279783
1947,292.25732269287107
1948,292.13632049560545
1949,292.15982856750486
1950,292.26506843566887
1951,292.15847244262693
1952,292.2580226898193
1953,292.4110168457031
1954,292.31356658935545
1955,292.25506629943845
1956,292.28082313537595
1957,292.24422302246086
1958,292.2480587005615
1959,292.29980125427244
1960,292.3738731384277
1961,292.32341804504387
1962,292.31441535949705
1963,292.22281112670896
1964,292.21414985656736
1965,292.23870887756345
1966,292.26676025390617
1967,292.10173835754387
1968,292.2078117370605
1969,292.3677753448486
1970,292.3770622253418
1971,292.2740539550781
1972,292.32303657531736
1973,292.3118671417236
1974,292.2271083831787
1975,292.2780345916748
1976,292.365217590332
1977,292.4046215057373
1978,292.3529724121093
1979,292.34361305236814
1980,292.3310894012451
1981,292.38450088500974
1982,292.3563636779785
1983,292.3774761199951
1984,292.24194564819334
1985,292.2127155303955
1986,292.2181114196777
1987,292.2534698486328
1988,292.2016510009765
1989,292.28301467895506
1990,292.4355224609375
1991,292.3064140319824
1992,292.23495903015134
1993,292.2136882781982
1994,292.2382053375244
1995,292.22250404357914
1996,292.0893310546875
1997,292.1200298309326
1998,292.17938842773435
1999,292.2535575866699
2000,292.33447494506834
2001,292.2865623474121
2002,292.26093139648435
2003,292.20370903015134
