Time (year),co2emit (PgC a-1)
1850.5,0.0
1851.5,0.0
1852.5,0.0
1853.5,0.0
1854.5,0.0
1855.5,0.0
1856.5,0.0
1857.5,0.0
1858.5,0.0
1859.5,0.0
1860.5,0.0
1861.5,0.0
1862.5,0.0
1863.5,0.0
1864.5,0.0
1865.5,0.0
1866.5,0.0
1867.5,0.0
1868.5,0.0
1869.5,0.0
1870.5,0.0
1871.5,0.0
1872.5,0.0
1873.5,0.0
1874.5,0.0
1875.5,0.0
1876.5,0.0
1877.5,0.0
1878.5,0.0
1879.5,0.0
1880.5,0.0
1881.5,0.0
1882.5,0.0
1883.5,0.0
1884.5,0.0
1885.5,0.0
1886.5,0.0
1887.5,0.0
1888.5,0.0
1889.5,0.0
1890.5,0.0
1891.5,0.0
1892.5,0.0
1893.5,0.0
1894.5,0.0
1895.5,0.0
1896.5,0.0
1897.5,0.0
1898.5,0.0
1899.5,0.0
1900.5,0.0
1901.5,0.0
1902.5,0.0
1903.5,0.0
1904.5,0.0
1905.5,0.0
1906.5,0.0
1907.5,0.0
1908.5,0.0
1909.5,0.0
1910.5,0.0
1911.5,0.0
1912.5,0.0
1913.5,0.0
1914.5,0.0
1915.5,0.0
1916.5,0.0
1917.5,0.0
1918.5,0.0
1919.5,0.0
1920.5,0.0
1921.5,0.0
1922.5,0.0
1923.5,0.0
1924.5,0.0
1925.5,0.0
1926.5,0.0
1927.5,0.0
1928.5,0.0
1929.5,0.0
1930.5,0.0
1931.5,0.0
1932.5,0.0
1933.5,0.0
1934.5,0.0
1935.5,0.0
1936.5,0.0
1937.5,0.0
1938.5,0.0
1939.5,0.0
1940.5,0.0
1941.5,0.0
1942.5,0.0
1943.5,0.0
1944.5,0.0
1945.5,0.0
1946.5,0.0
1947.5,0.0
1948.5,0.0
1949.5,0.0
1950.5,0.0
1951.5,0.0
1952.5,0.0
1953.5,0.0
1954.5,0.0
1955.5,0.0
1956.5,0.0
1957.5,0.0
1958.5,0.0
1959.5,0.0
1960.5,0.0
1961.5,0.0
1962.5,0.0
1963.5,0.0
1964.5,0.0
1965.5,0.0
1966.5,0.0
1967.5,0.0
1968.5,0.0
1969.5,0.0
1970.5,0.0
1971.5,0.0
1972.5,0.0
1973.5,0.0
1974.5,0.0
1975.5,0.0
1976.5,0.0
1977.5,0.0
1978.5,0.0
1979.5,0.0
1980.5,0.0
1981.5,0.0
1982.5,0.0
1983.5,0.0
1984.5,0.0
1985.5,0.0
1986.5,0.0
1987.5,0.0
1988.5,0.0
1989.5,0.0
