Time (year),fco2nat (PgC a-1)
1850.5,0.289301335811615
1851.5,-0.22612564265727997
1852.5,-0.7227814793586731
1853.5,-1.162510871887207
1854.5,-1.5681054592132568
1855.5,-1.9495350122451782
1856.5,-2.305149555206299
1857.5,-2.640498161315918
1858.5,-2.9182634353637695
1859.5,-3.216731309890747
1860.5,-3.5173773765563965
1861.5,-3.742600440979004
1862.5,-4.002719402313232
1863.5,-4.243724822998047
1864.5,-4.478855609893799
1865.5,-4.672217845916748
1866.5,-4.89171838760376
1867.5,-5.071211814880371
1868.5,-5.247446537017822
1869.5,-5.434432029724121
1870.5,-5.553823471069336
1871.5,-5.713299751281738
1872.5,-5.839166164398193
1873.5,-6.014310836791992
1874.5,-6.160182476043701
1875.5,-6.320117950439453
1876.5,-6.453080654144287
1877.5,-6.598601341247559
1878.5,-6.730892181396484
1879.5,-6.855286598205566
1880.5,-6.922826766967773
1881.5,-7.039032459259033
1882.5,-7.126068115234375
1883.5,-7.236447334289551
1884.5,-7.290826797485352
1885.5,-7.409585952758789
1886.5,-7.490606784820557
1887.5,-7.557952880859375
1888.5,-7.615721225738525
1889.5,-7.7188215255737305
1890.5,-7.757455825805664
1891.5,-7.82319450378418
1892.5,-7.899707317352295
1893.5,-7.960537910461426
1894.5,-8.036693572998047
1895.5,-8.104853630065918
1896.5,-8.167633056640625
1897.5,-8.195294380187988
1898.5,-8.262517929077148
1899.5,-8.2797269821167
1900.5,-8.323375701904297
1901.5,-8.386027336120605
1902.5,-8.407424926757812
1903.5,-8.431352615356445
1904.5,-8.427948951721191
1905.5,-8.435741424560547
1906.5,-8.442113876342773
1907.5,-8.491316795349121
1908.5,-8.471020698547363
1909.5,-8.50796890258789
1910.5,-8.491487503051758
1911.5,-8.51142692565918
1912.5,-8.546457290649414
1913.5,-8.536003112792969
1914.5,-8.55833625793457
1915.5,-8.537336349487305
1916.5,-8.524785995483398
1917.5,-8.494702339172363
1918.5,-8.489690780639648
1919.5,-8.46491813659668
1920.5,-8.447527885437012
1921.5,-8.451730728149414
1922.5,-8.412134170532227
1923.5,-8.371458053588867
1924.5,-8.299622535705566
1925.5,-8.268712997436523
1926.5,-8.245701789855957
1927.5,-8.20522689819336
1928.5,-8.176514625549316
1929.5,-8.163869857788086
1930.5,-8.110387802124023
1931.5,-8.072372436523438
1932.5,-8.105498313903809
1933.5,-8.053009033203125
1934.5,-8.016741752624512
1935.5,-8.033763885498047
1936.5,-8.018044471740723
1937.5,-7.963512897491455
1938.5,-7.9469404220581055
1939.5,-7.877703666687012
1940.5,-7.852762222290039
1941.5,-7.805707931518555
1942.5,-7.768425941467285
1943.5,-7.721455097198486
1944.5,-7.634588241577148
1945.5,-7.568105697631836
1946.5,-7.5220537185668945
1947.5,-7.4770612716674805
1948.5,-7.415400981903076
1949.5,-7.400591850280762
1950.5,-7.315918922424316
1951.5,-7.256564140319824
1952.5,-7.235413074493408
1953.5,-7.187110900878906
1954.5,-7.10189962387085
1955.5,-7.007393836975098
1956.5,-6.9264631271362305
1957.5,-6.823521614074707
1958.5,-6.7439866065979
1959.5,-6.634462833404541
1960.5,-6.543319225311279
1961.5,-6.451495170593262
1962.5,-6.345215320587158
1963.5,-6.310915946960449
1964.5,-6.176923751831055
1965.5,-6.142927169799805
1966.5,-6.07864236831665
1967.5,-6.0227484703063965
1968.5,-5.952992916107178
1969.5,-5.874374866485596
1970.5,-5.829090595245361
1971.5,-5.837982177734375
1972.5,-5.8202409744262695
1973.5,-5.810302734375
1974.5,-5.753394603729248
1975.5,-5.728456497192383
1976.5,-5.681087017059326
1977.5,-5.680485248565674
1978.5,-5.59450101852417
1979.5,-5.582702159881592
1980.5,-5.524118900299072
1981.5,-5.467352867126465
1982.5,-5.422621250152588
1983.5,-5.376938819885254
1984.5,-5.320148468017578
1985.5,-5.260389804840088
1986.5,-5.253364086151123
1987.5,-5.181610584259033
1988.5,-5.069954872131348
1989.5,-4.938230514526367
