Time (year),pr (kg m-2 s-1)
1850.5,3.36465091095306e-05
1851.5,3.364928488736041e-05
1852.5,3.3644686482148245e-05
1853.5,3.3641310437815264e-05
1854.5,3.3638418244663626e-05
1855.5,3.363299765624106e-05
1856.5,3.362918505445123e-05
1857.5,3.362647839821875e-05
1858.5,3.362315328558907e-05
1859.5,3.361882045282982e-05
1860.5,3.361596100148745e-05
1861.5,3.3614051062613726e-05
1862.5,3.3610926038818434e-05
1863.5,3.360888149472885e-05
1864.5,3.360714981681667e-05
1865.5,3.3605647331569344e-05
1866.5,3.360505070304498e-05
1867.5,3.3601318136788905e-05
1868.5,3.360214759595692e-05
1869.5,3.3602380426600575e-05
1870.5,3.3602820622036234e-05
1871.5,3.3603555493755266e-05
1872.5,3.360406117280945e-05
1873.5,3.360456321388483e-05
1874.5,3.360242772032507e-05
1875.5,3.3601179893594235e-05
1876.5,3.3597778383409604e-05
1877.5,3.359722177265212e-05
1878.5,3.3594311389606446e-05
1879.5,3.359453330631368e-05
1880.5,3.359477341291495e-05
1881.5,3.359634865773842e-05
1882.5,3.359364200150594e-05
1883.5,3.3593849366297945e-05
1884.5,3.359260517754592e-05
1885.5,3.3594486012589186e-05
1886.5,3.359494439791888e-05
1887.5,3.359630863997154e-05
1888.5,3.3597101719351485e-05
1889.5,3.3599215385038406e-05
1890.5,3.360032496857457e-05
1891.5,3.3604057534830645e-05
1892.5,3.36076773237437e-05
1893.5,3.360914342920296e-05
1894.5,3.361177004990168e-05
1895.5,3.3614764106459916e-05
1896.5,3.3616390282986686e-05
1897.5,3.361685594427399e-05
1898.5,3.362025017850101e-05
1899.5,3.3621730835875496e-05
1900.5,3.362571442266926e-05
1901.5,3.363012365298346e-05
1902.5,3.363161158631556e-05
1903.5,3.363515133969486e-05
1904.5,3.3636140869930387e-05
1905.5,3.364034273545258e-05
1906.5,3.364260192029178e-05
1907.5,3.364638541825116e-05
1908.5,3.36492303176783e-05
1909.5,3.365129668964073e-05
1910.5,3.365376323927194e-05
1911.5,3.3656269806670025e-05
1912.5,3.36560515279416e-05
1913.5,3.365776501595974e-05
1914.5,3.366006421856582e-05
1915.5,3.3661246561678126e-05
1916.5,3.3662723581073806e-05
1917.5,3.366224336787127e-05
1918.5,3.36622579197865e-05
1919.5,3.3661348425084725e-05
1920.5,3.3661537599982694e-05
1921.5,3.366134478710592e-05
1922.5,3.3661046472843736e-05
1923.5,3.366032615303993e-05
1924.5,3.3659347536740825e-05
1925.5,3.365904922247864e-05
1926.5,3.366021337569691e-05
1927.5,3.365860175108537e-05
1928.5,3.365911470609717e-05
1929.5,3.3657157473498955e-05
1930.5,3.365714292158373e-05
1931.5,3.365586235304363e-05
1932.5,3.3656495361356065e-05
1933.5,3.365545126143843e-05
1934.5,3.365354859852232e-05
1935.5,3.3652802812866867e-05
1936.5,3.365122029208578e-05
1937.5,3.3650052500888705e-05
1938.5,3.365147131262347e-05
1939.5,3.3650780096650124e-05
1940.5,3.3651780540822074e-05
1941.5,3.364977237652056e-05
1942.5,3.36491248162929e-05
1943.5,3.364812073414214e-05
1944.5,3.364862277521752e-05
1945.5,3.364777148817666e-05
1946.5,3.364530857652426e-05
1947.5,3.364492658874951e-05
1948.5,3.3644184441072866e-05
1949.5,3.364270014571957e-05
1950.5,3.3643147617112845e-05
1951.5,3.36424054694362e-05
1952.5,3.364155054441653e-05
1953.5,3.363965515745804e-05
1954.5,3.363857831573114e-05
1955.5,3.36380981025286e-05
1956.5,3.3638596505625173e-05
1957.5,3.363692667335272e-05
1958.5,3.363504947628826e-05
1959.5,3.3634591090958565e-05
1960.5,3.363444557180628e-05
1961.5,3.363468567840755e-05
1962.5,3.3644897484919056e-05
1963.5,3.367127283127047e-05
1964.5,3.369541809661314e-05
1965.5,3.371819911990315e-05
1966.5,3.373558138264343e-05
1967.5,3.3752963645383716e-05
1968.5,3.377049506525509e-05
1969.5,3.3784737752284855e-05
1970.5,3.379968256922439e-05
1971.5,3.381169881322421e-05
1972.5,3.382403156138025e-05
1973.5,3.3836335205705836e-05
1974.5,3.384633600944653e-05
1975.5,3.385903255548328e-05
1976.5,3.3869062463054433e-05
1977.5,3.387789911357686e-05
1978.5,3.3887747122207657e-05
1979.5,3.3896092645591125e-05
1980.5,3.390500933164731e-05
1981.5,3.391429709154181e-05
1982.5,3.3922035072464496e-05
1983.5,3.392994403839111e-05
1984.5,3.3937685657292604e-05
1985.5,3.394534360268153e-05
1986.5,3.395247404114343e-05
1987.5,3.395947351236828e-05
1988.5,3.3966069167945534e-05
1989.5,3.397294130991213e-05
1990.5,3.3980191801674664e-05
1991.5,3.398617991479114e-05
1992.5,3.399194247322157e-05
1993.5,3.399835622985847e-05
1994.5,3.4003394830506295e-05
1995.5,3.4010350645985454e-05
1996.5,3.401498543098569e-05
1997.5,3.4020507882814854e-05
1998.5,3.402641959837638e-05
1999.5,3.403114533284679e-05
2000.5,3.4035918361041695e-05
2001.5,3.4041022445308045e-05
2002.5,3.404559174668975e-05
2003.5,3.405073221074417e-05
2004.5,3.40544393111486e-05
2005.5,3.405937604838982e-05
2006.5,3.4063625207636505e-05
2007.5,3.4068354580085725e-05
2008.5,3.407209078432061e-05
2009.5,3.407568146940321e-05
2010.5,3.408055636100471e-05
2011.5,3.408508200664073e-05
2012.5,3.408841075724922e-05
2013.5,3.409305281820707e-05
2014.5,3.409627970540896e-05
2015.5,3.410074350540526e-05
2016.5,3.4105429222108796e-05
2017.5,3.410859790164977e-05
2018.5,3.4112948924303055e-05
2019.5,3.411646684980951e-05
2020.5,3.4120690543204546e-05
2021.5,3.4124630474252626e-05
2022.5,3.412799924262799e-05
2023.5,3.413295416976325e-05
2024.5,3.4135940950363874e-05
2025.5,3.413958984310739e-05
2026.5,3.4143045922974125e-05
2027.5,3.414818274904974e-05
2028.5,3.415211904211901e-05
2029.5,3.415600076550618e-05
2030.5,3.416075196582824e-05
2031.5,3.4164535463787615e-05
2032.5,3.416936669964343e-05
2033.5,3.417402695049532e-05
2034.5,3.41761733579915e-05
2035.5,3.418204141780734e-05
2036.5,3.418577034608461e-05
2037.5,3.419010681682266e-05
2038.5,3.419539280002937e-05
2039.5,3.419779386604205e-05
2040.5,3.420332359382883e-05
2041.5,3.42075691150967e-05
2042.5,3.42119783454109e-05
2043.5,3.421631481614895e-05
2044.5,3.422028021304868e-05
2045.5,3.422528607188724e-05
2046.5,3.422936424612999e-05
2047.5,3.423339148866944e-05
2048.5,3.4238102671224624e-05
2049.5,3.424207534408197e-05
2050.5,3.424691749387421e-05
2051.5,3.4251046599820256e-05
2052.5,3.425432805670425e-05
2053.5,3.425889372010715e-05
2054.5,3.4262557164765894e-05
2055.5,3.4268421586602926e-05
2056.5,3.427160481805913e-05
2057.5,3.4275330108357593e-05
2058.5,3.4279029932804406e-05
2059.5,3.428267882554792e-05
2060.5,3.4288150345673785e-05
2061.5,3.429095886531286e-05
2062.5,3.429563730605878e-05
2063.5,3.429931166465394e-05
2064.5,3.4302422136534005e-05
2065.5,3.430882497923449e-05
2066.5,3.431094592087902e-05
2067.5,3.431463846936822e-05
2068.5,3.4318283724132925e-05
2069.5,3.432184166740626e-05
2070.5,3.432694575167261e-05
2071.5,3.4330056223552674e-05
2072.5,3.43332503689453e-05
2073.5,3.433629171922803e-05
2074.5,3.433917663642205e-05
2075.5,3.434401878621429e-05
2076.5,3.434676909819245e-05
2077.5,3.4349191992077976e-05
2078.5,3.435393955442123e-05
2079.5,3.435634062043391e-05
2080.5,3.435988037381321e-05
2081.5,3.436291081015952e-05
2082.5,3.4365544706815854e-05
2083.5,3.437016857787967e-05
2084.5,3.4372322261333466e-05
2085.5,3.43764440913219e-05
2086.5,3.437928171479143e-05
2087.5,3.438139901845716e-05
2088.5,3.4386233892291784e-05
2089.5,3.438833664404228e-05
2090.5,3.439243300817907e-05
2091.5,3.439529973547906e-05
2092.5,3.4397016861476004e-05
2093.5,3.440153523115441e-05
2094.5,3.440303771640174e-05
2095.5,3.440722866798751e-05
2096.5,3.440979708102532e-05
2097.5,3.441215812927112e-05
2098.5,3.441586159169674e-05
2099.5,3.441883745836094e-05
2100.5,3.4422144381096587e-05
2101.5,3.442441811785102e-05
2102.5,3.442684101173654e-05
2103.5,3.442960587562993e-05
2104.5,3.443209425313398e-05
2105.5,3.443598689045757e-05
2106.5,3.4437918657204136e-05
2107.5,3.4440698073012754e-05
2108.5,3.444348112680018e-05
2109.5,3.4445576602593064e-05
2110.5,3.444913818384521e-05
2111.5,3.445284892222844e-05
2112.5,3.445395122980699e-05
2113.5,3.445716356509365e-05
2114.5,3.4459259040886536e-05
2115.5,3.446304617682472e-05
2116.5,3.446478513069451e-05
2117.5,3.446782284299843e-05
2118.5,3.446979098953307e-05
2119.5,3.447328708716668e-05
2120.5,3.447648123255931e-05
2121.5,3.447865674388595e-05
2122.5,3.448034476605244e-05
2123.5,3.4483364288462326e-05
2124.5,3.4484703064663336e-05
2125.5,3.4488195524318144e-05
2126.5,3.449068026384339e-05
2127.5,3.449383075349033e-05
2128.5,3.449534051469527e-05
2129.5,3.449762880336493e-05
2130.5,3.450038639130071e-05
2131.5,3.450379517744295e-05
2132.5,3.4505857911426574e-05
2133.5,3.4507509553804994e-05
2134.5,3.450961958151311e-05
2135.5,3.451378506724723e-05
2136.5,3.451505835982971e-05
2137.5,3.451806333032437e-05
2138.5,3.452003511483781e-05
2139.5,3.452130113146268e-05
2140.5,3.452498640399426e-05
2141.5,3.452647433732636e-05
2142.5,3.452905366430059e-05
2143.5,3.453137833275832e-05
2144.5,3.453363024163991e-05
2145.5,3.4537104511400685e-05
2146.5,3.453843237366527e-05
2147.5,3.4540520573500544e-05
2148.5,3.454258694546297e-05
2149.5,3.454426405369304e-05
2150.5,3.454832040006295e-05
2151.5,3.454924444667995e-05
2152.5,3.455090700299479e-05
2153.5,3.4555341699160635e-05
2154.5,3.455627665971406e-05
2155.5,3.456094054854475e-05
2156.5,3.456348349573091e-05
2157.5,3.456580452620983e-05
2158.5,3.456964986980893e-05
2159.5,3.45715852745343e-05
2160.5,3.4576722100609913e-05
2161.5,3.4579923521960154e-05
2162.5,3.458301944192499e-05
2163.5,3.458618084550835e-05
2164.5,3.4588865673867986e-05
2165.5,3.4593984310049564e-05
2166.5,3.459632716840133e-05
2167.5,3.459920844761655e-05
2168.5,3.4603188396431506e-05
2169.5,3.460613152128644e-05
2170.5,3.461047526798211e-05
2171.5,3.4613083698786795e-05
2172.5,3.461592132225633e-05
2173.5,3.4620265068951994e-05
2174.5,3.462223321548663e-05
2175.5,3.462661334197037e-05
2176.5,3.462890526861884e-05
2177.5,3.463227767497301e-05
2178.5,3.46344786521513e-05
2179.5,3.463709799689241e-05
2180.5,3.464159453869797e-05
2181.5,3.464435940259136e-05
2182.5,3.464684778009541e-05
2183.5,3.4649561712285504e-05
2184.5,3.4651937312446535e-05
2185.5,3.465731060714461e-05
2186.5,3.465981353656389e-05
2187.5,3.466258567641489e-05
2188.5,3.466389898676425e-05
2189.5,3.4668297303142026e-05
2190.5,3.467053466010839e-05
2191.5,3.4674540074774995e-05
2192.5,3.4676602808758616e-05
2193.5,3.46795713994652e-05
2194.5,3.468235445325263e-05
2195.5,3.468555223662406e-05
2196.5,3.4687600418692455e-05
2197.5,3.4690863685682416e-05
2198.5,3.469270086498e-05
2199.5,3.469467264949344e-05
2200.5,3.469936200417578e-05
2201.5,3.470135561656207e-05
2202.5,3.4703811252256855e-05
2203.5,3.470712181297131e-05
2204.5,3.4709217288764194e-05
2205.5,3.4712429624050856e-05
2206.5,3.471487434580922e-05
2207.5,3.471795207588002e-05
2208.5,3.472047683317214e-05
2209.5,3.4723150747595355e-05
2210.5,3.47261993738357e-05
2211.5,3.472847674856894e-05
2212.5,3.473093602224253e-05
2213.5,3.473409014986828e-05
2214.5,3.4735297958832234e-05
2215.5,3.4738997783279046e-05
2216.5,3.4741315175779164e-05
2217.5,3.47433851857204e-05
2218.5,3.474542609183118e-05
2219.5,3.474653931334615e-05
2220.5,3.475106495898217e-05
2221.5,3.475329140201211e-05
2222.5,3.4754033549688756e-05
2223.5,3.475741686997935e-05
2224.5,3.475971243460663e-05
2225.5,3.476218262221664e-05
2226.5,3.476397250778973e-05
2227.5,3.476526035228744e-05
2228.5,3.476893834886141e-05
2229.5,3.477008795016445e-05
2230.5,3.4771725040627643e-05
2231.5,3.4774762752931565e-05
2232.5,3.477523569017649e-05
2233.5,3.4779590350808576e-05
2234.5,3.4779077395796776e-05
2235.5,3.478250800981186e-05
2236.5,3.4784243325702846e-05
2237.5,3.478651342447847e-05
2238.5,3.478866710793227e-05
2239.5,3.4789660276146606e-05
2240.5,3.47932982549537e-05
2241.5,3.47949426213745e-05
2242.5,3.479637234704569e-05
2243.5,3.479880979284644e-05
2244.5,3.479894803604111e-05
2245.5,3.4801483707269654e-05
2246.5,3.4803582821041346e-05
2247.5,3.480533268884756e-05
2248.5,3.4808173950295895e-05
2249.5,3.480811938061379e-05
2250.5,3.481046951492317e-05
2251.5,3.4813288948498666e-05
2252.5,3.4814791433745995e-05
2253.5,3.4816031984519213e-05
2254.5,3.4817232517525554e-05
2255.5,3.4820219298126176e-05
2256.5,3.482165266177617e-05
2257.5,3.4823035093722865e-05
2258.5,3.482537795207463e-05
2259.5,3.482612009975128e-05
2260.5,3.4828426578314975e-05
2261.5,3.48299799952656e-05
2262.5,3.48311077686958e-05
2263.5,3.483458931441419e-05
2264.5,3.483447289909236e-05
2265.5,3.483706677798182e-05
2266.5,3.483874388621189e-05
2267.5,3.4839711588574573e-05
2268.5,3.4841825254261494e-05
2269.5,3.484319677227177e-05
2270.5,3.484515764284879e-05
2271.5,3.4846852940972894e-05
2272.5,3.484744593151845e-05
2273.5,3.4850781958084553e-05
2274.5,3.4850396332331e-05
2275.5,3.4853455872507766e-05
2276.5,3.4854445402743295e-05
2277.5,3.485581328277476e-05
2278.5,3.485742854536511e-05
2279.5,3.485812703729607e-05
2280.5,3.486048444756307e-05
2281.5,3.4862350730691105e-05
2282.5,3.4862689062720165e-05
2283.5,3.486526838969439e-05
2284.5,3.486517380224541e-05
2285.5,3.486828791210428e-05
2286.5,3.486913919914514e-05
2287.5,3.487005233182572e-05
2288.5,3.4871958632720634e-05
2289.5,3.487150024739094e-05
2290.5,3.487658977974206e-05
2291.5,3.487729190965183e-05
2292.5,3.487765934551135e-05
2293.5,3.488004222162999e-05
2294.5,3.4879787563113496e-05
2295.5,3.488335642032325e-05
2296.5,3.488326910883188e-05
2297.5,3.488490983727388e-05
2298.5,3.4886506909970194e-05
2299.5,3.48878420481924e-05
2300.5,3.489049413474277e-05
2301.5,3.48911271430552e-05
2302.5,3.4890857932623476e-05
2303.5,3.489381924737245e-05
2304.5,3.4893735573859885e-05
2305.5,3.489692971925251e-05
2306.5,3.489789378363639e-05
2307.5,3.489885421004146e-05
2308.5,3.489980008453131e-05
2309.5,3.4900414902949706e-05
2310.5,3.49041038134601e-05
2311.5,3.4904107451438904e-05
2312.5,3.4904533094959334e-05
2313.5,3.490599192446098e-05
2314.5,3.490593007882126e-05
2315.5,3.491032839519903e-05
2316.5,3.490987000986934e-05
2317.5,3.491073221084662e-05
2318.5,3.491254392429255e-05
2319.5,3.4912198316305876e-05
2320.5,3.491545794531703e-05
2321.5,3.491545794531703e-05
2322.5,3.491593452054076e-05
2323.5,3.4918954042950645e-05
2324.5,3.491884490358643e-05
2325.5,3.492203541100025e-05
2326.5,3.492207906674594e-05
2327.5,3.4922519262181595e-05
2328.5,3.492369069135748e-05
2329.5,3.4923745261039585e-05
2330.5,3.492717951303348e-05
2331.5,3.492825635476038e-05
2332.5,3.4927961678477004e-05
2333.5,3.493055919534527e-05
2334.5,3.49302172253374e-05
2335.5,3.493303302093409e-05
2336.5,3.493323674774729e-05
2337.5,3.4933891583932564e-05
2338.5,3.4935615985887125e-05
2339.5,3.4934524592245e-05
2340.5,3.4938329918077216e-05
2341.5,3.493930125841871e-05
2342.5,3.494009069981985e-05
2343.5,3.494287375360727e-05
2344.5,3.494101110845804e-05
2345.5,3.494358679745346e-05
2346.5,3.494410702842288e-05
2347.5,3.4945183870149776e-05
2348.5,3.494725751806982e-05
2349.5,3.494641714496538e-05
2350.5,3.495004420983605e-05
2351.5,3.495000419206917e-05
2352.5,3.4952026908285916e-05
2353.5,3.4953955037053674e-05
2354.5,3.4952954592881724e-05
2355.5,3.495729106361978e-05
2356.5,3.4955544833792374e-05
2357.5,3.495755299809389e-05
2358.5,3.4958593460032716e-05
2359.5,3.495875353110023e-05
2360.5,3.496262070257217e-05
2361.5,3.496216231724247e-05
2362.5,3.4963399230036885e-05
2363.5,3.496431600069627e-05
2364.5,3.4964974474860355e-05
2365.5,3.496859426377341e-05
2366.5,3.496834688121453e-05
2367.5,3.496967110550031e-05
2368.5,3.496931822155602e-05
2369.5,3.4971104469150305e-05
2370.5,3.497352736303583e-05
2371.5,3.4972403227584437e-05
2372.5,3.4974742447957397e-05
2373.5,3.497545185382478e-05
2374.5,3.497537545626983e-05
2375.5,3.497788202366792e-05
2376.5,3.497728903312236e-05
2377.5,3.497897705528885e-05
2378.5,3.497918078210205e-05
2379.5,3.498000660329126e-05
2380.5,3.498281876090914e-05
2381.5,3.498168007354252e-05
2382.5,3.49839792761486e-05
2383.5,3.4985063393833116e-05
2384.5,3.49858746631071e-05
2385.5,3.498847581795417e-05
2386.5,3.49871079379227e-05
2387.5,3.4988566767424345e-05
2388.5,3.4989203413715586e-05
2389.5,3.498955993563868e-05
2390.5,3.4991782740689814e-05
2391.5,3.499228478176519e-05
2392.5,3.49930596712511e-05
2393.5,3.499432932585478e-05
2394.5,3.499424929032102e-05
2395.5,3.499680678942241e-05
2396.5,3.4996508475160226e-05
2397.5,3.499804006423801e-05
2398.5,3.499848389765248e-05
2399.5,3.4999324270756915e-05
2400.5,3.500165985315107e-05
2401.5,3.500160892144777e-05
2402.5,3.500184902804904e-05
2403.5,3.500483217067085e-05
2404.5,3.500430830172263e-05
2405.5,3.500696402625181e-05
2406.5,3.50071641150862e-05
2407.5,3.500710954540409e-05
2408.5,3.500988896121271e-05
2409.5,3.500965249259025e-05
2410.5,3.501148603390902e-05
2411.5,3.501207902445458e-05
2412.5,3.501166065689176e-05
2413.5,3.501444371067919e-05
2414.5,3.501405808492564e-05
2415.5,3.501645551295951e-05
2416.5,3.501755782053806e-05
2417.5,3.501736500766128e-05
2418.5,3.501965693430975e-05
2419.5,3.5018474591197446e-05
2420.5,3.502167601254769e-05
2421.5,3.5022629162995145e-05
2422.5,3.5022305382881314e-05
2423.5,3.502403706079349e-05
2424.5,3.502392064547166e-05
2425.5,3.502622712403536e-05
2426.5,3.502746039885096e-05
2427.5,3.502767867757939e-05
2428.5,3.502925392240286e-05
2429.5,3.502909385133535e-05
2430.5,3.5031822335440665e-05
2431.5,3.5031745937885717e-05
2432.5,3.5031796869589016e-05
2433.5,3.503401603666134e-05
2434.5,3.5033397580264136e-05
2435.5,3.5036449844483286e-05
2436.5,3.5036064218729734e-05
2437.5,3.503698098938912e-05
2438.5,3.503817424643785e-05
2439.5,3.503882180666551e-05
2440.5,3.5039152862736955e-05
2441.5,3.504166306811385e-05
2442.5,3.504060805425979e-05
2443.5,3.504323831293732e-05
2444.5,3.504354754113592e-05
2445.5,3.504428968881257e-05
2446.5,3.504528649500571e-05
2447.5,3.5045759432250634e-05
2448.5,3.5048458812525496e-05
2449.5,3.504741835058667e-05
2450.5,3.5048658901359886e-05
2451.5,3.5051049053436145e-05
2452.5,3.504996857373044e-05
2453.5,3.505294080241583e-05
2454.5,3.505205677356571e-05
2455.5,3.505394488456659e-05
2456.5,3.505529457470402e-05
2457.5,3.5055265470873564e-05
2458.5,3.5057317290920764e-05
2459.5,3.5056291380897164e-05
2460.5,3.5058477806160226e-05
2461.5,3.5059529182035476e-05
2462.5,3.505917266011238e-05
2463.5,3.506165012368001e-05
2464.5,3.506083521642722e-05
