Time (year),pr (kg m-2 s-1)
1850.5,3.3650427212705836e-05
1851.5,3.36613884428516e-05
1852.5,3.3668340620351955e-05
1853.5,3.367332465131767e-05
1854.5,3.3678024919936433e-05
1855.5,3.3681113563943654e-05
1856.5,3.3682750654406846e-05
1857.5,3.368472243892029e-05
1858.5,3.368540637893602e-05
1859.5,3.368561010574922e-05
1860.5,3.368729812791571e-05
1861.5,3.3684413210721686e-05
1862.5,3.3686003007460386e-05
1863.5,3.36855482601095e-05
1864.5,3.3686104870866984e-05
1865.5,3.3684889785945415e-05
1866.5,3.36843186232727e-05
1867.5,3.368042234797031e-05
1868.5,3.367890167282894e-05
1869.5,3.36765697284136e-05
1870.5,3.367638782947324e-05
1871.5,3.367399767739698e-05
1872.5,3.367348472238518e-05
1873.5,3.3671480196062475e-05
1874.5,3.366920645930804e-05
1875.5,3.3666012313915417e-05
1876.5,3.3661322959233075e-05
1877.5,3.3654781873337924e-05
1878.5,3.364900840097107e-05
1879.5,3.364141593920067e-05
1880.5,3.363595897099003e-05
1881.5,3.363028372405097e-05
1882.5,3.362221104907803e-05
1883.5,3.361702329129912e-05
1884.5,3.361221752129495e-05
1885.5,3.360940536367707e-05
1886.5,3.360286427778192e-05
1887.5,3.3602416806388646e-05
1888.5,3.3601143513806164e-05
1889.5,3.359550828463398e-05
1890.5,3.359305264893919e-05
1891.5,3.358855246915482e-05
1892.5,3.358281173859723e-05
1893.5,3.358084359206259e-05
1894.5,3.3574124245205894e-05
1895.5,3.357275636517443e-05
1896.5,3.3568318031029776e-05
1897.5,3.3565655030542985e-05
1898.5,3.356487286509946e-05
1899.5,3.356180968694389e-05
1900.5,3.3561500458745286e-05
1901.5,3.356390880071558e-05
1902.5,3.3564752811798826e-05
1903.5,3.356816523591988e-05
1904.5,3.357229070388712e-05
1905.5,3.3575310226297006e-05
1906.5,3.3580054150661454e-05
1907.5,3.358428875799291e-05
1908.5,3.3591633837204427e-05
1909.5,3.359698166605085e-05
1910.5,3.360589107614942e-05
1911.5,3.361238123034127e-05
1912.5,3.361904964549467e-05
1913.5,3.36284028890077e-05
1914.5,3.3634416467975825e-05
1915.5,3.364396980032325e-05
1916.5,3.3654530852800235e-05
1917.5,3.366134478710592e-05
1918.5,3.3673342841211706e-05
1919.5,3.3682339562801644e-05
1920.5,3.369429396116175e-05
1921.5,3.37037599820178e-05
