Time (year),tos (K)
1850.5,291.0973815917969
1851.5,291.1110534667969
1852.5,291.11968994140625
1853.5,291.1247863769531
1854.5,291.1285400390625
1855.5,291.1322021484375
1856.5,291.13525390625
1857.5,291.1383972167969
1858.5,291.14111328125
1859.5,291.14422607421875
1860.5,291.14825439453125
1861.5,291.15301513671875
1862.5,291.1570129394531
1863.5,291.16094970703125
1864.5,291.1667175292969
1865.5,291.1737365722656
1866.5,291.1798400878906
1867.5,291.1858215332031
1868.5,291.19158935546875
1869.5,291.1995849609375
1870.5,291.2089538574219
1871.5,291.21844482421875
1872.5,291.23046875
1873.5,291.2438659667969
1874.5,291.258056640625
1875.5,291.2740173339844
1876.5,291.29168701171875
1877.5,291.3126220703125
1878.5,291.3351135253906
1879.5,291.35919189453125
1880.5,291.38671875
1881.5,291.4162292480469
1882.5,291.4466247558594
1883.5,291.4786682128906
1884.5,291.51141357421875
1885.5,291.54571533203125
1886.5,291.5821533203125
1887.5,291.61993408203125
1888.5,291.65966796875
1889.5,291.7016906738281
1890.5,291.7454528808594
1891.5,291.79119873046875
1892.5,291.8387756347656
1893.5,291.8880310058594
1894.5,291.93780517578125
1895.5,291.9873962402344
1896.5,292.0386962890625
1897.5,292.0916442871094
1898.5,292.14410400390625
1899.5,292.1976623535156
1900.5,292.25213623046875
1901.5,292.3068542480469
1902.5,292.3607177734375
1903.5,292.414306640625
1904.5,292.46881103515625
1905.5,292.5222473144531
1906.5,292.57568359375
1907.5,292.6282653808594
1908.5,292.6806945800781
1909.5,292.73126220703125
1910.5,292.78076171875
1911.5,292.8291015625
1912.5,292.8764343261719
1913.5,292.92291259765625
1914.5,292.9671630859375
1915.5,293.00933837890625
1916.5,293.05023193359375
1917.5,293.0889892578125
1918.5,293.1253356933594
1919.5,293.1601257324219
1920.5,293.19183349609375
1921.5,293.2209777832031
1922.5,293.24847412109375
1923.5,293.27435302734375
1924.5,293.2983093261719
1925.5,293.31982421875
1926.5,293.33990478515625
1927.5,293.3592529296875
1928.5,293.3775634765625
1929.5,293.39422607421875
1930.5,293.4103698730469
1931.5,293.4251708984375
1932.5,293.4389953613281
1933.5,293.4519958496094
1934.5,293.4637451171875
1935.5,293.474609375
1936.5,293.4844970703125
1937.5,293.49322509765625
1938.5,293.501708984375
1939.5,293.50927734375
1940.5,293.5159912109375
1941.5,293.5226135253906
1942.5,293.5283508300781
1943.5,293.53363037109375
1944.5,293.5384826660156
1945.5,293.543212890625
1946.5,293.5475769042969
1947.5,293.551513671875
1948.5,293.5550537109375
1949.5,293.5581359863281
1950.5,293.5611877441406
1951.5,293.5641784667969
1952.5,293.5671691894531
1953.5,293.5693664550781
